instruction,response,output,prompt,history,summary,his_len,Segment,WC,Analytic,Clout,Authentic,Tone,WPS,BigWords,Dic,Linguistic,function,pronoun,ppron,i,we,you,shehe,they,ipron,det,article,number,prep,auxverb,adverb,conj,negate,verb,adj,quantity,Drives,affiliation,achieve,power,Cognition,allnone,cogproc,insight,cause,discrep,tentat,certitude,differ,memory,Affect,tone_pos,tone_neg,emotion,emo_pos,emo_neg,emo_anx,emo_anger,emo_sad,swear,Social,socbehav,prosocial,polite,conflict,moral,comm,socrefs,family,friend,female,male,Culture,politic,ethnicity,tech,Lifestyle,leisure,home,work,money,relig,Physical,health,illness,wellness,mental,substances,sexual,food,death,need,want,acquire,lack,fulfill,fatigue,reward,risk,curiosity,allure,Perception,attention,motion,space,visual,auditory,feeling,time,focuspast,focuspresent,focusfuture,Conversation,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,QMark,Exclam,Apostro,OtherP,Emoji
"Yes, as of right now she has stopped but I'm concerned that she's not safe. I'm not certain of her location but the door code for entry into the building is *[DATE]. Thank you!","Okay, we will pass this on to our officers. Please contact us back if she starts screaming again and/or if you have an updated location.",Okay. Thank you. We will pass this on. If she begins screaming again or you have an undated location feel free to contact us back.,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
A user reports a woman screaming and crying for help outside their apartment building on a specific date. The woman sounds unstable and is currently in the back parking lot area. The admin thanks the user for using the safety service and informs them that the organization is responding to the location. The admin asks for any additional information and the user provides the door code for entry into the building. The admin assures the user that the information will be passed on and asks them to contact back if the woman starts screaming again or if they have an updated location. The user thanks the admin and agrees to contact back if needed. 
 User: Hello, there is a woman loudly screaming and crying “Help me please” while shaking the doors of my apt building. [DATE] [PERSON] She sounds unstable and is screaming very loudly. Currently outside the building in back parking lot area.
Dispatcher: Thank you for using LIVESAFE. [ORG] is responding to this location in reference to this incident. Do you have any additional information to pass on to [ORG]? 
 User: Yes, as of right now she has stopped but I'm concerned that she's not safe. I'm not certain of her location but the door code for entry into the building is *[DATE]. Thank you!
Dispatcher:","[['Hello, there is a woman loudly screaming and crying “Help me please” while shaking the doors of my apt building. [DATE] [PERSON] She sounds unstable and is screaming very loudly. Currently outside the building in back parking lot area.', 'Thank you for using LIVESAFE. [ORG] is responding to this location in reference to this incident. Do you have any additional information to pass on to [ORG]?']]",A user reports a woman screaming and crying for help outside their apartment building on a specific date. The woman sounds unstable and is currently in the back parking lot area. The admin thanks the user for using the safety service and informs them that the organization is responding to the location. The admin asks for any additional information and the user provides the door code for entry into the building. The admin assures the user that the information will be passed on and asks them to contact back if the woman starts screaming again or if they have an updated location. The user thanks the admin and agrees to contact back if needed.,6,1,25,12.09,99,96.32,99,6.25,16,92,80,56,24,20,0,8,8,4,0,4,8,4,0,8,8,4,8,0,24,8,0,8,8,0,0,12,0,12,4,0,0,8,0,8,0,8,8,0,0,0,0,0,0,0,0,24,4,4,4,0,0,4,20,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,20,0,4,8,0,4,4,8,0,8,4,4,0,4,0,0,16,16,0,0,0,0,0,0
I believe they are hallucinating,"Okay, what is their description? color of dress? etc?","Okay, do they look like they have any weapons?","A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
A user contacts [ORG] to report a person who is continuously yelling and saying random things. The person is located in the ""space in between"" near [PERSON]'s place and the children's theater. They have been yelling for about ## minutes and have slowly removed their clothes, but are not exposed. The person appears to be [NORP] with long brown hair, a grey dress, and black leggings. The user believes they are hallucinating. The admin asks if they have any weapons, to which the user responds that they do not. The admin thanks the user and informs them that officers are already at the location. 
 User: This person is just continuously yelling and saying very random things.
Dispatcher: Thank you for contacting [ORG]. Where is he at and when was he last seen? 
 User: This person is in the “space in between” right next to [PERSON] place and the children’s theater
Dispatcher: They were yelling for about ## minutes 
 User: Okay, are they still there?
Dispatcher: They are 
 User: They have been slowly removing their clothes, they aren’t exposed but they’ve taken off a jacket two shirts and their shoes and socks
Dispatcher: Okay, what is their race? 
 User: They appear to be [NORP]
Dispatcher: Long brown hair with a grey dress and black leggings on 
 User: I believe they are hallucinating
Dispatcher:","[['This person is just continuously yelling and saying very random things.', 'Thank you for contacting [ORG]. Where is he at and when was he last seen?'], ['This person is in the “space in between” right next to [PERSON] place and the children’s theater', 'They were yelling for about ## minutes'], ['Okay, are they still there?', 'They are'], ['They have been slowly removing their clothes, they aren’t exposed but they’ve taken off a jacket two shirts and their shoes and socks', 'Okay, what is their race?'], ['They appear to be [NORP]', 'Long brown hair with a grey dress and black leggings on']]","A user contacts [ORG] to report a person who is continuously yelling and saying random things. The person is located in the ""space in between"" near [PERSON]'s place and the children's theater. They have been yelling for about ## minutes and have slowly removed their clothes, but are not exposed. The person appears to be [NORP] with long brown hair, a grey dress, and black leggings. The user believes they are hallucinating. The admin asks if they have any weapons, to which the user responds that they do not. The admin thanks the user and informs them that officers are already at the location.",14,1,9,10.19,99,,,9,11.11,88.89,88.89,66.67,22.22,22.22,0,0,0,0,22.22,0,11.11,0,0,11.11,22.22,0,0,0,33.33,11.11,0,0,0,0,0,11.11,0,11.11,0,0,0,11.11,0,0,0,0,0,0,0,0,0,0,0,0,0,22.22,0,0,0,0,0,0,22.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.44,11.11,11.11,0,0,11.11,0,0,0,0,0,0,11.11,0,11.11,0,0,22.22,0,11.11,11.11,0,0,0,0
No I walked by just now and it’s completely silent.,"Okay, I will have an officer check it out to make sure everything is okay.","Okay, I will have an officer drive by the area just to make sure everything is okay.","A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
A user reported hearing a young child yelling for help while walking to the laundry room at a facility. The user was unsure if the child was in danger but the help did not sound playful. The user later walked by and the area was silent. The admin thanked the user for the tip and asked if there was any indication of physical abuse or if the child was still yelling. The user confirmed that the area was now silent and the admin said they would have an officer check the area to ensure everything was okay. The user thanked the admin for their help. 
 User: Approximately ## minutes ago I was walking to the laundry room at [FAC]. I walked by unit [ACRONYM] or ### and heard what sounded like a young child yelling “help” and immediately being shushed.
Dispatcher: Thank you for your tip. Did the parent sound like they were threatening the child in any way? Did the child seem to be in harm's way? 
 User: Unfortunately they were in their apartment and I did not see. However, the help did not sound playful
Dispatcher: Is the child still yelling for help? Does it sound like there is an altercation or any physical abuse going on inside? 
 User: No I walked by just now and it’s completely silent.
Dispatcher:","[['Approximately ## minutes ago I was walking to the laundry room at [FAC]. I walked by unit [ACRONYM] or ### and heard what sounded like a young child yelling “help” and immediately being shushed.', ""Thank you for your tip. Did the parent sound like they were threatening the child in any way? Did the child seem to be in harm's way?""], ['Unfortunately they were in their apartment and I did not see. However, the help did not sound playful', 'Is the child still yelling for help? Does it sound like there is an altercation or any physical abuse going on inside?']]",A user reported hearing a young child yelling for help while walking to the laundry room at a facility. The user was unsure if the child was in danger but the help did not sound playful. The user later walked by and the area was silent. The admin thanked the user for the tip and asked if there was any indication of physical abuse or if the child was still yelling. The user confirmed that the area was now silent and the admin said they would have an officer check the area to ensure everything was okay. The user thanked the admin for their help.,8,1,17,64.21,40.06,46.57,,17,11.76,100,82.35,58.82,11.76,5.88,5.88,0,0,0,0,5.88,11.76,11.76,0,11.76,17.65,5.88,0,0,29.41,11.76,0,5.88,0,0,5.88,11.76,5.88,5.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.88,0,0,0,0,0,0,5.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.53,23.53,11.76,5.88,5.88,0,0,0,0,0,5.88,17.65,11.76,0,11.76,0,0,11.76,5.88,5.88,0,0,0,0,0
My friends know. They were witnesses about the recent incident tonight.,"Okay, has an officer spoken with them about this situation?","Okay, I see. Well, if you feel threatened or harassed, it is recommended that you make someone aware of this [ORG]. so whenever you are ready, just notify us and we can have an officer speak with you about this incident","A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
A user reports being verbally attacked and threatened by an individual multiple times and asks for advice on what to do. The admin suggests speaking to an officer and asks if the user is available to do so now. The user declines but says they will reach out next week. The admin reminds the user that they are available to help whenever they are ready and asks if the user has told anyone else about the situation. The user says their friends know and were witnesses to a recent incident. The admin recommends notifying an organization if the user feels threatened or harassed and offers to have an officer speak with them when they are ready. The user thanks the admin and asks for their name, to which the admin responds with their name. 
 User: An individual has verbally attacked me to threaten me about physical action at least # times. Who should I reach out to, what should I do?
Dispatcher: In this case, it is recommended that you speak to an officer about what is going on. Are you available to do so right now? 
 User: I wouldn’t want to right now. I will soon maybe next week or so.
Dispatcher: Okay. We are here to assist whenever you're ready to speak with someone. Have you notified an [NORP] or anyone else about this situation? 
 User: My friends know. They were witnesses about the recent incident tonight.
Dispatcher:","[['An individual has verbally attacked me to threaten me about physical action at least # times. Who should I reach out to, what should I do?', 'In this case, it is recommended that you speak to an officer about what is going on. Are you available to do so right now?'], ['I wouldn’t want to right now. I will soon maybe next week or so.', ""Okay. We are here to assist whenever you're ready to speak with someone. Have you notified an [NORP] or anyone else about this situation?""]]","A user reports being verbally attacked and threatened by an individual multiple times and asks for advice on what to do. The admin suggests speaking to an officer and asks if the user is available to do so now. The user declines but says they will reach out next week. The admin reminds the user that they are available to help whenever they are ready and asks if the user has told anyone else about the situation. The user says their friends know and were witnesses to a recent incident. The admin recommends notifying an organization if the user feels threatened or harassed and offers to have an officer speak with them when they are ready. The user thanks the admin and asks for their name, to which the admin responds with their name.",8,1,41,1,99,26.35,58.42,13.67,17.07,95.12,82.93,65.85,29.27,17.07,2.44,4.88,9.76,0,0,12.2,9.76,2.44,0,7.32,9.76,12.2,12.2,0,19.51,7.32,0,12.2,4.88,0,7.32,17.07,0,17.07,4.88,2.44,2.44,7.32,0,4.88,0,12.2,7.32,4.88,0,0,0,0,0,0,0,29.27,9.76,0,0,4.88,0,2.44,19.51,0,0,0,0,0,0,0,0,2.44,0,0,2.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.44,0,14.63,7.32,2.44,0,0,2.44,0,2.44,4.88,0,9.76,0,2.44,0,2.44,0,0,19.51,4.88,9.76,0,0,0,4.88,0
"Small blonde boy age ##-## sitting in Meneely with his friends with their bikes just told me, a female student, to give him a kiss while I was trying to print something. Please tell these kids not to harass women on this campus especially in buildings which are not open to the public that they should not be in in the first place. I am sending this from my house but it happened five minutes ago in Meneely.","Thank you for reporting this, we will have an officer look into it. Would you like to meet with an officer?",Officer has been advised.,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
A female student reports that a small blonde boy and his friends, who were not supposed to be in the building, asked her for a kiss while she was trying to print. She asks for them to be told not to harass women on campus, and mentions that her friend was also whistled at. The admin informs the user that an officer has been advised and asks for the location of the incident. The user clarifies that it happened in the main entrance of Meneely and also mentions that her friend was whistled at. The admin thanks the user and advises them to call [ORG] if they see the youths in the area again. 
 User: Small blonde boy age ##-## sitting in Meneely with his friends with their bikes just told me, a female student, to give him a kiss while I was trying to print something. Please tell these kids not to harass women on this campus especially in buildings which are not open to the public that they should not be in in the first place. I am sending this from my house but it happened five minutes ago in Meneely.
Dispatcher:",[],"A female student reports that a small blonde boy and his friends, who were not supposed to be in the building, asked her for a kiss while she was trying to print. She asks for them to be told not to harass women on campus, and mentions that her friend was also whistled at. The admin informs the user that an officer has been advised and asks for the location of the incident. The user clarifies that it happened in the main entrance of Meneely and also mentions that her friend was whistled at. The admin thanks the user and advises them to call [ORG] if they see the youths in the area again.",7,1,4,1,99,,,4,50,100,75,50,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,75,0,0,25,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,25,25,0,0,0,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,25,0,0,0,0,0,0,25,25,0,0,0,0,0,0
Age I guess he is ## to ## years old,Does he have any weapons or he just making noise,Ok thank you for the information. We will have officers check the area. Would you like to speak with officers?,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
A user contacts [ORG] to report a homeless person making loud noises and disturbing them. The admin asks for the location and description of the person, and the user provides their address and a description of a black person wearing a white shirt and a cap. The user estimates the person's age to be between 20-30 years old. The admin informs the user that officers will check the area and asks if they would like to speak with them. The user agrees and mentions that someone else is also describing the person's behavior. They request for more backup for the officers and the admin confirms that additional officers are on their way. The user thanks the admin. 
 User: Thank you for contacting [ORG]. Where is this person? and can I have a description of the subj?
Dispatcher: In front if our house 
 User: Ok what is your address?
Dispatcher: #### w ##th st 
 User: Great thank you, what does this person look like? race, age, clothing? and what is he doing?
Dispatcher: He is black 
 User: White shirt
Dispatcher: He has a cab 
 User: Cab—>cap
Dispatcher: [GPE] pants 
 User: Age I guess he is ## to ## years old
Dispatcher:","[['Thank you for contacting [ORG]. Where is this person? and can I have a description of the subj?', 'In front if our house'], ['Ok what is your address?', '#### w ##th st'], ['Great thank you, what does this person look like? race , age, clothing? and what is he doing?', 'He is black'], ['White shirt', 'He has a cab'], ['Cab—>cap', '[GPE] pants']]","A user contacts [ORG] to report a homeless person making loud noises and disturbing them. The admin asks for the location and description of the person, and the user provides their address and a description of a black person wearing a white shirt and a cap. The user estimates the person's age to be between 20-30 years old. The admin informs the user that officers will check the area and asks if they would like to speak with them. The user agrees and mentions that someone else is also describing the person's behavior. They request for more backup for the officers and the admin confirms that additional officers are on their way. The user thanks the admin.",22,1,20,89.52,99,1,90.5,6.67,15,100,75,60,15,15,0,5,10,0,0,0,10,10,0,20,15,0,0,0,25,0,0,15,5,0,10,10,0,10,5,0,5,0,0,0,0,5,5,0,0,0,0,0,0,0,0,35,10,5,5,0,0,10,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,10,5,0,5,0,0,0,0,0,0,5,5,0,5,0,0,15,10,0,5,0,0,0,0
The double door tan house,[ACRONYM],Newark Police checked the area and didn't see anything. Are they still fighting?,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
A user reports a fight occurring at Waterworks Lane. The admin asks for more information, including the number of people involved and if there are any weapons. The user responds that there are two women involved and gives the location as Waterworks Lane and a double door tan house. The admin informs the user that Newark Police are on their way and asks for a better description of the people and the location. The user then updates that the fight has moved to Academy Street and gives the intersection of [ORG] Avenue and Academy. The admin asks if it is a physical fight or a verbal argument, and the user responds that it is verbal but escalating. The admin asks for a description of what the women are wearing, but the user suggests listening for screaming instead. The user then updates that the women are now near the intersection of Kells and Academy. The admin informs the user that Newark Police are aware of the situation. The user thanks the admin and reports that there is still a lot of screaming. The user also provides descriptions of the women's clothing. The admin confirms that Newark Police are now with the women and the user thanks them. The user also mentions that the women may have gone into a house on Academy and Kells. The admin confirms that Newark Police are with the women and thanks the user for their help. 
 User: ### waterworks lane Fight occurring
Dispatcher: How many people and are there any weapons? 
 User: [GPE] Newark Police are on their way, do you have a better description of the people involved or where the fight is?
Dispatcher: Two women 
 User: What do they look like and where are they?
Dispatcher: ### waterworks lane 
 User: The double door tan house
Dispatcher:","[['### waterworks lane Fight occurring', 'How many people and are there any weapons?'], ['[GPE] Newark Police are on their way, do you have a better description of the people involved or where the fight is?', 'Two women'], ['What do they look like and where are they?', '### waterworks lane']]","A user reports a fight occurring at Waterworks Lane. The admin asks for more information, including the number of people involved and if there are any weapons. The user responds that there are two women involved and gives the location as Waterworks Lane and a double door tan house. The admin informs the user that Newark Police are on their way and asks for a better description of the people and the location. The user then updates that the fight has moved to Academy Street and gives the intersection of [ORG] Avenue and Academy. The admin asks if it is a physical fight or a verbal argument, and the user responds that it is verbal but escalating. The admin asks for a description of what the women are wearing, but the user suggests listening for screaming instead. The user then updates that the women are now near the intersection of Kells and Academy. The admin informs the user that Newark Police are aware of the situation. The user thanks the admin and reports that there is still a lot of screaming. The user also provides descriptions of the women's clothing. The admin confirms that Newark Police are now with the women and the user thanks them. The user also mentions that the women may have gone into a house on Academy and Kells. The admin confirms that Newark Police are with the women and thanks the user for their help.",24,1,13,1.3,7.93,30.98,1,6.5,23.08,92.31,61.54,53.85,15.38,7.69,0,0,0,0,7.69,7.69,7.69,7.69,0,0,15.38,7.69,7.69,7.69,23.08,0,0,7.69,0,0,7.69,15.38,0,15.38,0,0,0,7.69,0,7.69,0,7.69,0,7.69,0,0,0,0,0,0,0,15.38,7.69,0,0,7.69,0,0,7.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.38,23.08,7.69,0,7.69,7.69,0,0,0,15.38,7.69,0,0,0,0,0,0,23.08,7.69,0,7.69,0,7.69,0,0
They found them?,"Yes, a house on the corner",Yes Newark Police are out with them now.,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
A user reports a fight occurring at Waterworks Lane. The admin asks for more information, including the number of people involved and if there are any weapons. The user responds that there are two women involved and gives the location as Waterworks Lane and a double door tan house. The admin informs the user that Newark Police are on their way and asks for a better description of the people and the location. The user then updates that the fight has moved to Academy Street and gives the intersection of [ORG] Avenue and Academy. The admin asks if it is a physical fight or a verbal argument, and the user responds that it is verbal but escalating. The admin asks for a description of what the women are wearing, but the user suggests listening for screaming instead. The user then updates that the women are now near the intersection of Kells and Academy. The admin informs the user that Newark Police are aware of the situation. The user thanks the admin and reports that there is still a lot of screaming. The user also provides descriptions of the women's clothing. The admin confirms that Newark Police are now with the women and the user thanks them. The user also mentions that the women may have gone into a house on Academy and Kells. The admin confirms that Newark Police are with the women and thanks the user for their help. 
 User: Verbal but seems like they are escalating
Dispatcher: Can you describe what they are wearing? 
 User: Just listen for screaming
Dispatcher: They are near the intersection of kells and academy 
 User: [ACRONYM], we will let Newark Police know.
Dispatcher: Thank you 
 User: There is a lot of screaming
Dispatcher: White shirt and jean shorts and navy blue shirt with light blue writing on it 
 User: [ACRONYM], [ORG] are out with them now.
Dispatcher: They may have went into a house on academy and kells 
 User: They found them?
Dispatcher:","[['Verbal but seems like they are escalating', 'Can you describe what they are wearing?'], ['Just listen for screaming', 'They are near the intersection of kells and academy'], ['[ACRONYM], we will let Newark Police know.', 'Thank you'], ['There is a lot of screaming', 'White shirt and jean shorts and navy blue shirt with light blue writing on it'], ['[ACRONYM], [ORG] are out with them now.', 'They may have went into a house on academy and kells']]","A user reports a fight occurring at Waterworks Lane. The admin asks for more information, including the number of people involved and if there are any weapons. The user responds that there are two women involved and gives the location as Waterworks Lane and a double door tan house. The admin informs the user that Newark Police are on their way and asks for a better description of the people and the location. The user then updates that the fight has moved to Academy Street and gives the intersection of [ORG] Avenue and Academy. The admin asks if it is a physical fight or a verbal argument, and the user responds that it is verbal but escalating. The admin asks for a description of what the women are wearing, but the user suggests listening for screaming instead. The user then updates that the women are now near the intersection of Kells and Academy. The admin informs the user that Newark Police are aware of the situation. The user thanks the admin and reports that there is still a lot of screaming. The user also provides descriptions of the women's clothing. The admin confirms that Newark Police are now with the women and the user thanks them. The user also mentions that the women may have gone into a house on Academy and Kells. The admin confirms that Newark Police are with the women and thanks the user for their help.",24,1,8,62.1,94.84,89.39,,8,0,87.5,75,62.5,12.5,12.5,0,0,0,0,12.5,0,0,0,0,25,12.5,12.5,0,0,12.5,0,0,12.5,0,0,12.5,12.5,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,0,0,0,0,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.5,12.5,0,0,12.5,0,0,0,12.5,0,25,0,12.5,0,12.5,0,0,12.5,12.5,0,0,0,0,0,0
There is a gentlemen harassing starbucks employees. White gentleman in his late ##'s in a [DATE] sweater with a [ORG] riding a [ORG],Which location?,Thank you for contacting [ORG]. Which [ORG] is the subject at?,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
A user reports a white gentleman in his late 20s wearing a [DATE] sweater and riding a [ORG] who was harassing Starbucks employees at a location. The admin asks for clarification on which [ORG] the incident occurred at. The user responds that it was at the village location, but the gentleman has since left and may not be sober. The admin asks for more details on when and where the gentleman was last seen, and the user provides an estimate of # or ## minutes ago and that he was in the middle of the village plaza. The admin thanks the user and assures them that officers will check the area. The user thanks the admin. 
 User: There is a gentlemen harassing starbucks employees. White gentleman in his late ##'s in a [DATE] sweater with a [ORG] riding a [ORG]
Dispatcher:",[],"A user reports a white gentleman in his late 20s wearing a [DATE] sweater and riding a [ORG] who was harassing Starbucks employees at a location. The admin asks for clarification on which [ORG] the incident occurred at. The user responds that it was at the village location, but the gentleman has since left and may not be sober. The admin asks for more details on when and where the gentleman was last seen, and the user provides an estimate of # or ## minutes ago and that he was in the middle of the village plaza. The admin thanks the user and assures them that officers will check the area. The user thanks the admin.",7,1,11,89.52,86.82,5.07,99,5.5,18.18,81.82,63.64,54.55,18.18,9.09,0,0,9.09,0,0,9.09,9.09,9.09,0,18.18,9.09,0,0,0,18.18,0,0,0,0,0,0,9.09,0,9.09,0,0,0,0,0,9.09,0,9.09,9.09,0,0,0,0,0,0,0,0,18.18,9.09,9.09,9.09,0,0,9.09,9.09,0,0,0,0,0,0,0,0,18.18,0,0,18.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.09,0,0,0,0,0,0,54.55,9.09,0,9.09,0,0,36.36,0
I am in smith,What is your room number? So an officer can meet with you.,What is your room # so I can have an officer come speak with you.,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
A user was running home from an organization at a specific time when they saw someone behind them and heard a scream. They started sprinting and flagged down a car, which took them to their residence hall. The admin asked for their location and room number so an officer could speak with them. The user was in the common room on the second floor and was with their proctor and a few other people. The admin assured them that an officer was on their way and the user thanked them. 
 User: I was running home from [ORG] at ##:##. I saw some guy behind me and they screamed. They were coming from the direction of SNu and I heard the footsteps like I was being chased. I didn't see them chasing me forsure, but I heard the scream and started sprinting. I screamed really loud and flagged down a car. They took me to my residence hall.
Dispatcher: Where are you at this time? 
 User: I am in smith
Dispatcher:","[[""I was running home from [ORG] at ##:##. I saw some guy behind me and they screamed. They were coming from the direction of SNu and I heard the footsteps like I was being chased. I didn't see them chasing me forsure, but I heard the scream and started sprinting. I screamed really loud and flagged down a car. They took me to my residence hall."", 'Where are you at this time?']]","A user was running home from an organization at a specific time when they saw someone behind them and heard a scream. They started sprinting and flagged down a car, which took them to their residence hall. The admin asked for their location and room number so an officer could speak with them. The user was in the common room on the second floor and was with their proctor and a few other people. The admin assured them that an officer was on their way and the user thanked them.",10,1,14,1,99,72.58,,14,7.14,100,85.71,71.43,28.57,21.43,7.14,0,14.29,0,0,7.14,14.29,7.14,0,7.14,21.43,7.14,7.14,0,35.71,0,0,7.14,0,0,7.14,7.14,0,7.14,0,0,7.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.57,7.14,0,0,0,0,7.14,21.43,0,0,0,0,0,0,0,0,7.14,0,7.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.29,14.29,0,7.14,14.29,0,0,0,0,0,14.29,0,0,0,0,0,0,14.29,7.14,0,0,0,0,7.14,0
