instruction,response,output,prompt,history,summary,his_len,type
then she worked at a ups store then started waiting on tables after she started college,"Ok, I understand you're concerned about your friend. Can you tell me what's going on?
",that's great ... I was the same way I started working when I was ##.. My mom always says I've spoiled my boys rotten .so I have to start making them independent,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: then she worked at a ups store then started waiting on tables after she started college
Dispatcher:",[],,18,HarassmentAbuse
"ok, thank you for help! like I said, I don't want to butt in, but if someone is being abused, I feel like it's my duty to help them!","I understand, and we appreciate your concern. 
",You're welcome! Don't hesitate to call us or [ORG] the next time you believe something is happening at that location.,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: #### A*
Dispatcher: Does it sound like they're fighting right now? 
 User: no, the fighting usually happens about twice a week, though.
Dispatcher: The next time you hear them fighting, please call either [ORG] or [ORG] so that they can respond to address any domestic issues that may be occurring. 
 User: ok, thank you for help! like I said, I don't want to butt in, but if someone is being abused, I feel like it's my duty to help them!
Dispatcher:","[['#### A*', ""Does it sound like they're fighting right now?""], ['no, the fighting usually happens about twice a week, though.', 'The next time you hear them fighting, please call either [ORG] or [ORG] so that they can respond to address any domestic issues that may be occurring.']]",,6,HarassmentAbuse
i love it! did you see the pic?,"I did and I was so excited to see it.
",A little dark so no smile but very cool,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: ok what do ya thank? cool huh?
Dispatcher: Oh there it is I was trying to figure out how to send a message 
 User: neat! you busy?
Dispatcher: No its raining and they do not get wet haha 
 User: i love it! did you see the pic?
Dispatcher:","[['ok what do ya thank? cool huh?', 'Oh there it is I was trying to figure out how to send a message'], ['neat! you busy?', 'No its raining and they do not get wet haha']]",,5,HarassmentAbuse
"okay, one second. i am in the library.","okay.
",Can you call the security line so that i could talk to you for a minute to get someone to assist you further?,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: okay, one second. i am in the library.
Dispatcher:",[],,12,HarassmentAbuse
hello,"hello!
",hello,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: hello
Dispatcher:",[],,1,HarassmentAbuse
[NORP] [NORP],"[NORP] [NORP]
",ok. I will let the officers know about him. THank you for your tip,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: [NORP] [NORP]
Dispatcher:",[],,5,HarassmentAbuse
test test,"test test
",sir we will send a officer to assist you,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: test test
Dispatcher:",[],,1,HarassmentAbuse
"long pulled back bolnde hair, another was short with a chest tattoo and short hair.","I'm sorry to hear that.
",Any other information you might be able to provide would be helpful. Do you think the victim was injured in any way?,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: long pulled back bolnde hair, another was short with a chest tattoo and short hair.
Dispatcher:",[],,10,HarassmentAbuse
thank you.,"no problem.
",Ok I will let an officer know to be on the look out for him. Thank you for your tip dear.,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: thank you.
Dispatcher:",[],,8,HarassmentAbuse
I'm ok and the man is gone and I'd really just like to go to bed,"Ok, so you're safe and the man is gone?
",We really encourage you to contact [ORG] At (###) ###-#### . Also officers searched the area and were not able to locate the subject. If you would like to meet with [ORG] to file report please don't hesitate to call us at (###) ###-####,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: I'm ok and the man is gone and I'd really just like to go to bed
Dispatcher:",[],,10,HarassmentAbuse
thank you for the advice.,"You are welcome.
",You're welcome. Thank you again for using the [UNK-NNP] app. Have a good day.,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: sorry, the voicemail is from the unknown number, not the ###-####.
Dispatcher: Ok. You can call [ORG] by dialing ###. When they answer, just let them know it is not an emergency. They should be able to help you from that point. 
 User: thank you for the advice.
Dispatcher:","[['sorry, the voicemail is from the unknown number, not the ###-####.', 'Ok. You can call [ORG] by dialing ###. When they answer, just let them know it is not an emergency. They should be able to help you from that point.']]",,7,HarassmentAbuse
left out the side heading towards financial aid office,"Did he have a weapon?
",Is he walking still the last time you saw him?,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: afraid he may be waiting for me to come out. I am with a friend at the moment
Dispatcher: Which way did he go out of [GPE] 
 User: left out the side heading towards financial aid office
Dispatcher:","[['afraid he may be waiting for me to come out. I am with a friend at the moment', 'Which way did he go out of [GPE]']]",,5,HarassmentAbuse
she said she would rather report it herself instead of through me,"Is she okay?
",Thank you-[UNK-NNP] ask her to call and we will have someone meet her or she can come to our office.,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: ~## min ago
Dispatcher: What is your friend's name and phone number? I would like to have an officer meet with her. 
 User: she said she would rather report it herself instead of through me
Dispatcher:","[['~## min ago', ""What is your friend's name and phone number? I would like to have an officer meet with her.""]]",,10,HarassmentAbuse
yes i would like to speak to an officer,"Thank you for calling the police department. How can I help you?
",Where would you like to meet an officer,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: yes i would like to speak to an officer
Dispatcher:",[],,3,HarassmentAbuse
the side that the baseball field is on,"Can you see the officers? 
",[ACRONYM] the officer was unable to locate you. They are on the way back to your location.,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: uncg rec center
Dispatcher: Where in the [ORG] will you be 
 User: we can meet at the front entrance
Dispatcher: The officers are there now looking for you. 
 User: we are in front of the rec center
Dispatcher: Which side are you on. 
 User: the side that the baseball field is on
Dispatcher:","[['uncg rec center', 'Where in the [ORG] will you be'], ['we can meet at the front entrance', 'The officers are there now looking for you.'], ['we are in front of the rec center', 'Which side are you on.']]",,12,HarassmentAbuse
what can our manager do?,"Our manager can help you by providing you with information on the steps to take to ensure your safety.
",Can you call [ORG] non emergency # ###-###-#### please so I can explain.,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: what can our manager do?
Dispatcher:",[],,11,HarassmentAbuse
this is grewal. ofc can meet me in asado if they want,"Great, we'll send a patrol car over to meet you. 
",Thanks for the information. Do you have any clothing description for the assailant?,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: she is wakkmf sb on laurel, has bag w pink straps
Dispatcher: Thanks for letting us know. Do you know where the assailant is currently? 
 User: this is grewal. ofc can meet me in asado if they want
Dispatcher:","[['she is wakkmf sb on laurel, has bag w pink straps', 'Thanks for letting us know. Do you know where the assailant is currently?']]",,6,HarassmentAbuse
he also had a baseball hat on,"he also had a baseball hat on
","Thank you, and the other subject? Race, [UNK-NNP], [UNK-NNP], [UNK-NNP] description?","A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: he also had a baseball hat on
Dispatcher:",[],,8,HarassmentAbuse
sorry I'm at the library and my phone was on silent,"Hi, I'm dispatcher from the local police department.
",ok can you call again I dont know why you got an automated message . when i tried to call you it was a dead line on my end,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: sorry I'm at the library and my phone was on silent
Dispatcher:",[],,7,HarassmentAbuse
or of their*,"I understand. What is the location of the students?
",Do you know where this occurred,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: unfortunately I am not aware of who they are of their location. the app I saw this video on is anonymous
Dispatcher: Do you know who the students are & do you know 
 User: or of their*
Dispatcher:","[['unfortunately I am not aware of who they are of their location. the app I saw this video on is anonymous', 'Do you know who the students are & do you know']]",,3,HarassmentAbuse
I really do hope [ORG] can work to make this place safer. because it isn't and that's just not fair,"I'm sorry to hear that.
","I am so sorry this happened to you. Contacting [ACRONYM] is a good idea because they can offer you several avenues of help. We are always available through this app., to help anonymously as well. I could also meet with you now somewhere-anywhere-I wouldn't look like a cop. We could also talk by phone, and your identity would still be anonymous. If not that is perfectly fine. You are in control.","A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: I really do hope [ORG] can work to make this place safer. because it isn't and that's just not fair
Dispatcher:",[],,28,HarassmentAbuse
The back side of [ORG]?,"Yes, the back side of [ORG]. 
",It is very important to get this information passed along to the officer in order to begin to help your situation.,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: Tonight I mean
Dispatcher: Are you on campus? 
 User: Yes,I am. I am in my room in springer at the moment.
Dispatcher: If you can come out the north side (back side), I can have an officer pick you up. 
 User: The back side of [ORG]?
Dispatcher:","[['Tonight I mean', 'Are you on campus?'], ['Yes ,I am. I am in my room in springer at the moment.', 'If you can come out the north side (back side), I can have an officer pick you up.']]",,10,HarassmentAbuse
their car was black,"what was the color of the car?
",Thank you. Officers are checking the area.,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: their car was black
Dispatcher:",[],,15,HarassmentAbuse
thank you very much!,"you're welcome!
",ok we have officers on the way to check,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: it was too dark to see them
Dispatcher: can you give a discription? of the person 
 User: thank you very much!
Dispatcher:","[['it was too dark to see them', 'can you give a discription? of the person']]",,3,HarassmentAbuse
shirts are off boys squaring up to fight,"I'm here to help you.
",Thank you we have officers enroute.,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: shirts are off boys squaring up to fight
Dispatcher:",[],,3,HarassmentAbuse
send an officer where? having a report of it is actually good. that guy was so creepy,"ok. I will send an officer to your location. 
","Ok we can send an officer to you, you can come to the [PERSON] or we can also have an officer call you.","A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: should I still report it to an officer?, [UNK-NNP] is this ok?
Dispatcher: it is your decision. I can send an officer if you would like to have a report of it. 
 User: send an officer where? having a report of it is actually good. that guy was so creepy
Dispatcher:","[['should I still report it to an officer? , [UNK-NNP] is this ok?', 'it is your decision. I can send an officer if you would like to have a report of it.']]",,9,HarassmentAbuse
thank you,"You are welcome, please let us know if you need any further assistance.
",You are welcome. Have a good evening.,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: also, i emailed [PERSON] and [PERSON] the same.
Dispatcher: Thank you for the information, we have notified the [ACRONYM] with the details. 
 User: thank you
Dispatcher:","[['also, i emailed [PERSON] and [PERSON] the same.', 'Thank you for the information, we have notified the [ACRONYM] with the details.']]",,5,HarassmentAbuse
"but just as an fyi, that is often a front that fraternities use. but I appreciate you looking into it!","I'm glad to hear that you're going to be safe. I'm going to need you to give me a little more information.
","Thank you for the information, I will let the officers know so that they are aware.","A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: but just as an fyi, that is often a front that fraternities use. but I appreciate you looking into it!
Dispatcher:",[],,11,HarassmentAbuse
seemed pretty agresive,"I'm sorry to hear that.
",Thanks,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: seemed pretty agresive
Dispatcher:",[],,3,HarassmentAbuse
okay. is he going to approach this person? he's been belligerent to people and I'm sitting here watching him,"yes sir officer is on scene and he is going to approach the subject
","The officer on scene is on a motorcycle, not a patrol car. He might not be visible.","A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: okay don't see them yet.
Dispatcher: thank you officer is on scene 
 User: okay. is he going to approach this person? he's been belligerent to people and I'm sitting here watching him
Dispatcher:","[[""okay don't see them yet."", 'thank you officer is on scene']]",,10,HarassmentAbuse
Thanks for your tip,"What is your name?
",Thanks for the tip. Can you give description of the person? What are,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: Thanks for your tip
Dispatcher:",[],,1,HarassmentAbuse
you didn't answer my question. are you asking these questions in an attempt to contact her?,"no. I'm just trying to help you.
","Just a moment, I'm consulting with my supervisor.","A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: you didn't answer my question. are you asking these questions in an attempt to contact her?
Dispatcher:",[],,8,HarassmentAbuse
bring,"dispatcher
",[ACRONYM] received,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: bring
Dispatcher:",[],,4,HarassmentAbuse
she's asking him to pick her up and we don't know what to do,"""Okay, I'm going to need a little more information than that. Is this an emergency?""
",What did [PERSON] tell her to do ?,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: she's asking him to pick her up and we don't know what to do
Dispatcher:",[],,2,HarassmentAbuse
okay,"[ORG] is a local business, they are located at [LOCATION] and are open from [TIME] to [TIME].
",[ORG] said it's up to him if he wants to pick her up. If he doesnt want to then he needs to tell her that she will have to find a friend to pick her up or get a taxi. It's up to him,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: if you need a phone number let me know
Dispatcher: getting details from [ORG] give me a minute please. 
 User: okay
Dispatcher:","[['if you need a phone number let me know', 'getting details from [ORG] give me a minute please.']]",,13,HarassmentAbuse
campus*,"dispatcher
",Can you please meet with the officer to give a statement your information will be kept confidential,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: campus*
Dispatcher:",[],,13,HarassmentAbuse
no thank you just wanted to let you know,"ok, so you're reporting a crime?
",Thank you we will be sending officers to the location,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: no thank you just wanted to let you know
Dispatcher:",[],,7,HarassmentAbuse
no don't call they at coming through windo under stairs hurry now,"Okay. Is the person in danger?
",Is your address ### [UNK-NNP] street ?,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: help
Dispatcher: This is [UNK-NNP] [PERSON] with [ORG]. Im contacting [ORG]. Do you have a phone number they can all you at 
 User: no don't call they at coming through windo under stairs hurry now
Dispatcher:","[['help', 'This is [UNK-NNP] [PERSON] with [ORG]. Im contacting [ORG]. Do you have a phone number they can all you at']]",,3,HarassmentAbuse
it's the [ORG] under the stairs,"Hello, how can I help you?
",Where are you in the house?,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: it's the [ORG] under the stairs
Dispatcher:",[],,15,HarassmentAbuse
Is someone just going to talk to me?,"Yes. We are just going to talk to you.
",Yes.,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: Is someone just going to talk to me?
Dispatcher:",[],,8,HarassmentAbuse
Thanks hommie,"Hello, how can I help you?
",Do you mean a smoke detector? And I will send someone to check on it now,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: Thanks hommie
Dispatcher:",[],,1,HarassmentAbuse
I did not recognize them though,"I'm sorry to hear that
",or see what type of car it was,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: I did not recognize them though
Dispatcher:",[],,3,HarassmentAbuse
Ok. Thank you.,"You are welcome.
",Your welcome. Have a good night,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: it happened at his house near hull street exact location I don't know
Dispatcher: Thank you for the additional information. Since the assault occurred on [UNK-NNP] [UNK-NNP] you would have to contact [ORG] to file a report. The phone number is ###-###-####. If you have any additional questions please let me know 
 User: Ok. Thank you.
Dispatcher:","[[""it happened at his house near hull street exact location I don't know"", 'Thank you for the additional information. Since the assault occurred on [UNK-NNP] [UNK-NNP] you would have to contact [ORG] to file a report. The phone number is ###-###-####. If you have any additional questions please let me know']]",,7,HarassmentAbuse
college hill apartments,"I understand. Please stay on the line.
","On the app you can add sound clips if you would like to send us the information. I have passed the information on to [ORG] and have provided them with your phone number so they may make contact with you directly to get any further information. Additionally, if you choose to speak with one of their officers in person you can play the sound clip for them at that time as well.","A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: number is ##########
Dispatcher: Yes you can. We are on the phone with [ORG] at this time. Would you be willing to speak with them by phone? If so, may we have your phone number. 
 User: college hill apartments
Dispatcher:","[['number is ##########', 'Yes you can. We are on the phone with [ORG] at this time. Would you be willing to speak with them by phone? If so, may we have your phone number.']]",,9,HarassmentAbuse
no they drove off,"Are you still in the area? 
","Ok thank you for the tip. We have units in that area now, looking for the vehicle.","A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: they have been following us
Dispatcher: Where are you at on columbia ave? can you see the license plate on the vehicle 
 User: they drove by quickly. they drive by first on avenue of champions and then twice on [ORG]
Dispatcher: Is the vehicle in the area now? 
 User: no they drove off
Dispatcher:","[['they have been following us', 'Where are you at on columbia ave? can you see the license plate on the vehicle'], ['they drove by quickly. they drive by first on avenue of champions and then twice on [ORG]', 'Is the vehicle in the area now?']]",,5,HarassmentAbuse
