instruction,response,output,prompt,history,summary,his_len,type
white guy,"black guy
",Thank you for the tip officers are on the way,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: white guy
Dispatcher:",[],,3,SuspiciousActivity
i can be reached at ########## or by email [EMAIL] if you want more information,"ok, i'll give you my name and badge number, it's ##########
",Thank you. Are you still available to meet? We concerned about this activity. We will give you a call,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: i can be reached at ########## or by email [EMAIL] if you want more information
Dispatcher:",[],,9,SuspiciousActivity
he has medium length sandy brown hair. average height and build. [NORP].,"he has medium length sandy brown hair. average height and build. [NORP].
",Do you know what he was wearing?,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: he has medium length sandy brown hair. average height and build. [NORP].
Dispatcher:",[],,3,SuspiciousActivity
thank you !,"You're welcome.
","Adam check the area also ,","A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: thank you!
Dispatcher:",[],,11,SuspiciousActivity
apologies,"1
","Thank you for conducting a test of the system, have a great day : )","A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: apologies
Dispatcher:",[],,4,SuspiciousActivity
"call or i can meet on my porch, i dont mind.","Ok, I'll send an officer over.
",Thank you. I will let the officers know. They will likely call you if they have ant questions.,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: im sorry it took me a while to report, i openned the app as soon as he was out of visual range
Dispatcher: Would it be alright for an officer to call you if they need further info? 
 User: call or i can meet on my porch, i dont mind.
Dispatcher:","[['im sorry it took me a while to report, i openned the app as soon as he was out of visual range', 'Would it be alright for an officer to call you if they need further info?']]",,10,SuspiciousActivity
it looks like theres a white and black cord coming from the camera. i'm assuming one is power and the other is to record? i don't know,"yes, the black is the power cord, and the white is the recording cord.
",Thank for contacting us. We will send someone out,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: it looks like theres a white and black cord coming from the camera. i'm assuming one is power and the other is to record? i don't know
Dispatcher:",[],,3,SuspiciousActivity
thank you,"You're welcome.
","Ok, [UNK-NNP] police should arrive soon.","A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: thank you
Dispatcher:",[],,6,SuspiciousActivity
"man has a suit on with beard, also has a dog with him","Is the man in the suit with the dog in the enclosure? 
",Thank-you! Tempe [ACRONYM] has been advised and are on their way.,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: they are currently inside the enclosure
Dispatcher: Do you have any descriptions of the males you are reporting? 
 User: man has a suit on with beard, also has a dog with him
Dispatcher:","[['they are currently inside the enclosure', 'Do you have any descriptions of the males you are reporting?']]",,5,SuspiciousActivity
i think he had a walkie talkie too,"i think he had a walkie talkie too
","Hello, although a week has passed since you submitted a 'tip', please know that it is a crime to make a false report. If you have any questions, please direct them to me. [PERSON], [UNK-NNP] [UNK-NNP] [UNK-NNP], [[ACRONYM]]","A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: i think he had a walkie talkie too
Dispatcher:",[],,19,SuspiciousActivity
please let me know if I can help at all. I am an [NORP] in [GPE] and I can help as much as possible,"Hello, my name is [Dispatcher Name]. I am a [Dispatcher Role] for [Dispatch Center].
",Do you have a description?,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: please let me know if I can help at all. I am an [NORP] in [GPE] and I can help as much as possible
Dispatcher:",[],,1,SuspiciousActivity
probably leaving the building,"Hello, my name is Dispatcher. How can I help you?
","ok, thank you, did he say or do anything that you are aware of?","A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: probably leaving the building
Dispatcher:",[],,9,SuspiciousActivity
hillview apts,"911
",do you see the officers,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: hillview apts
Dispatcher:",[],,21,SuspiciousActivity
he was white,"he was white
","Great, thanks! We have an officer on the way now.","A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: he was white
Dispatcher:",[],,3,SuspiciousActivity
teens to ##s,"Teens to ##s? [PERSON]? 
","Thank you, we are dispatching officers to the location.","A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: we ve had several laptop thefts recently [UNK-NNP] the building
Dispatcher: approximately how old did he look? 
 User: #ft tall, slender black male with a long board and headphones
Dispatcher: Approximately how old did he look? ##s? ##s? [PERSON]? 
 User: teens to ##s
Dispatcher:","[['we ve had several laptop thefts recently [UNK-NNP] the building', 'approximately how old did he look?'], ['#ft tall, slender black male with a long board and headphones', 'Approximately how old did he look? ##s? ##s? [PERSON]?']]",,8,SuspiciousActivity
Sorry. I meant plant!,"Okay, you want to report a plant?
",Thank you will have [UNK-NNP] en route!,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: Sorry. I meant plant!
Dispatcher:",[],,1,SuspiciousActivity
"cap, blue shorts, carrying a drink and what looks to be food","what is he doing?
",what color shir and pants,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: outside. heading toward alumni
Dispatcher: what is the floor? 
 User: he has now pulled his shorts up.
Dispatcher: what does he lok like? 
 User: cap, blue shorts, carrying a drink and what looks to be food
Dispatcher:","[['outside. heading toward alumni', 'what is the floor?'], ['he has now pulled his shorts up.', 'what does he lok like?']]",,5,SuspiciousActivity
ok thanks,"Can you describe the person?
",Thank you they will be contacting you shortly,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: building I room ####
Dispatcher: Which apartment are you in? 
 User: ok thanks
Dispatcher:","[['building I room ####', 'Which apartment are you in?']]",,14,SuspiciousActivity
I'm glad he's been contacted and there is no problem with him or others eating lunch in the area as long as they are not disruptive to college business.,"Thank you for your cooperation.
",Ok. Please let us know if he does anything other than eat lunch there that is disruptive.,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: I'm glad he's been contacted and there is no problem with him or others eating lunch in the area as long as they are not disruptive to college business.
Dispatcher:",[],,6,SuspiciousActivity
I do not wish to be contacted. he has left but just so you are aware of the situation,"Thank you for calling the police department. I understand you have a concern.
","Ok, thanks for responding back. Officers are checking the area. Do you any additional information on the van (ie. color, make and/or model, license and which way it drove off?)","A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: I do not wish to be contacted. he has left but just so you are aware of the situation
Dispatcher:",[],,4,SuspiciousActivity
near walgreens,"dispatcher
",[ACRONYM] [ACRONYM] [ACRONYM] [ACRONYM]R IN[ACRONYM]M[ACRONYM]ION. [ACRONYM] [ACRONYM] [ACRONYM] [ACRONYM] [ORG] [ACRONYM] [ACRONYM] OFFICER REFERENCE [ACRONYM] VEHICLE?. [ACRONYM] [ACRONYM] PLEASE [ACRONYM] ###-###-####? [ACRONYM] [ACRONYM] UNABLE [ACRONYM] LOC[ACRONYM]E [ACRONYM] [ACRONYM] [ORG].,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: near walgreens
Dispatcher:",[],,10,SuspiciousActivity
thank you,"you're welcome
",thank you for contacting [ORG]. I'm sorry you felt unsafe but using the [UNK-NNP] app is a resource for you. I hope that has been a positive help. If you need to contact us again please do so in the future.,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: thank you
Dispatcher:",[],,13,SuspiciousActivity
no prob,"hello?
",Thank you,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: no prob
Dispatcher:",[],,6,SuspiciousActivity
we all thought he dropped because he didn't like where his practicum/internship was. his supervisor there didn't give him learning experiences,"we'll see what we can do to help him
",What is the name of the supervisor and does he reside at [ORG]?,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: we all thought he dropped because he didn't like where his practicum/internship was. his supervisor there didn't give him learning experiences
Dispatcher:",[],,19,SuspiciousActivity
I think some people call him [PERSON],"We're going to need more information than that.
",okay what exactly is he doing and can you provide a further description,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: I think some people call him [PERSON]
Dispatcher:",[],,1,SuspiciousActivity
yeah. im just tired and want to try to sleep,"ok. whats going on?
","All right then, thank you for reporting this and have a good night.","A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: yeah. im just tired and want to try to sleep
Dispatcher:",[],,10,SuspiciousActivity
guy,"dispatcher
",Thank [UNK-NNP]. We have [UNK-NNP] in the area. Are you willing to speak with an [UNK-NNP]?,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: guy
Dispatcher:",[],,9,SuspiciousActivity
"ok, thank you, hope I don't make you come for nothing!","I'm not worried.
","its o.k. thank you and have a good night,","A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: ok, thank you, hope I don't make you come for nothing!
Dispatcher:",[],,5,SuspiciousActivity
Is one coming right now?,"Yes, one is on the way.
",Yes.,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: Is one coming right now?
Dispatcher:",[],,9,SuspiciousActivity
the girl is wearing a blue dress,"the girl is wearing a blue dress
",How long ago was this?,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: the girl is wearing a blue dress
Dispatcher:",[],,6,SuspiciousActivity
Taylor place. I know he is somewhere on the [PERSON] floors,"okay, you need to get to the [PERSON] floor
",do you know where they live or would you be willing to speak to an officer?,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: correct
Dispatcher: i can see you are on the downtown cAMPUS 
 User: Taylor place. I know he is somewhere on the [PERSON] floors
Dispatcher:","[['correct', 'i can see you are on the downtown cAMPUS']]",,7,SuspiciousActivity
I didn't really look I apologize. that's all I remember.,"That's okay.
",do you remember what color the bandana was? Or what color shirt/jacket he was wearing?,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: about ## minutes ago, and his face was covered with a bandana.
Dispatcher: Thank you. When did you last seen him? What was his face covered with? 
 User: I didn't really look I apologize. that's all I remember.
Dispatcher:","[['about ## minutes ago, and his face was covered with a bandana.', 'Thank you. When did you last seen him? What was his face covered with?']]",,6,SuspiciousActivity
thank you so muxh,"you're welcome
",Thank you. We are getting calls on this male. We will have officres check it out.,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: thank you so muxh
Dispatcher:",[],,2,SuspiciousActivity
black hoodie. the guy is white skinned,"Alright, please stay calm and do not make any sudden movements. We will be there in a few minutes.
",Thank you,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: very quiet
Dispatcher: Thank you, we have already received the call.. And officers are on the way. Is he alone? and can you give a clothing description 
 User: black hoodie. the guy is white skinned
Dispatcher:","[['very quiet', 'Thank you, we have already received the call.. And officers are on the way. Is he alone? and can you give a clothing description']]",,12,SuspiciousActivity
[[ORG]],"[[ORG]]
",Thank you for your assistance.,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: [[ORG]]
Dispatcher:",[],,34,SuspiciousActivity
"Yes, sorry for the delay. west of the stairway","No problem.
",Thank you for your response. Officers have checked the area and everything is clear. Have a good night!,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: Yes, sorry for the delay. west of the stairway
Dispatcher:",[],,3,SuspiciousActivity
Thanks!,"You're welcome.
","I don't know what kind of follow up will be needed later for this incident. I will do the best that I can on my part of it to keep your name out of it. But like I said, I don't know what follow ups may be needed for it.","A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: Thanks!
Dispatcher:",[],,8,SuspiciousActivity
no voices or anything else just huge crashing sounds,"""Hello, what is your emergency?""
",No problem we will have officers to respond.,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: no voices or anything else just huge crashing sounds
Dispatcher:",[],,7,SuspiciousActivity
no I have not,"okay, I am going to have an officer come out and take a look at it. They will be there shortly.
",ok. officers will be meeting with you shortly,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: where should I meet them?
Dispatcher: Stay where you are. They will meet with you there at your apartment 
 User: okay thank you so much
Dispatcher: no problem.... have you heard any other noise since you reported it? 
 User: no I have not
Dispatcher:","[['where should I meet them?', 'Stay where you are. They will meet with you there at your apartment'], ['okay thank you so much', 'no problem.... have you heard any other noise since you reported it?']]",,18,SuspiciousActivity
he's walking out towards [ORG]'s edge- he gave away his bag,"That's a good idea. You're going to be fine.
",Thank you for keeping us updated.,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: Thank you
Dispatcher: Thank you for contacting the department of public safety. I will dispatch an officer to investigate. 
 User: he's walking out towards [ORG]'s edge- he gave away his bag
Dispatcher:","[['Thank you', 'Thank you for contacting the department of public safety. I will dispatch an officer to investigate.']]",,3,SuspiciousActivity
they left as I was working. I looked up & they were gone. I'm sorry,"It's okay.
",We will let you know if the officers request to meet with you at later time. When would you be available?,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: they left as I was working. I looked up & they were gone. I'm sorry
Dispatcher:",[],,7,SuspiciousActivity
thank you!,"you are welcome.
",Is the bookstack on the main floor or another floor?,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: thank you!
Dispatcher:",[],,15,SuspiciousActivity
"none of them had backpacks or anything school related, just the one guy carrying the plastic bag","ok, so they were just walking down the street?
",OFFICERS [ACRONYM] [ACRONYM] [ACRONYM] [ACRONYM]A [ACRONYM]. [ACRONYM] [ACRONYM] ADVISE [ACRONYM] FUR[ACRONYM]R [ACRONYM] [ACRONYM] [ACRONYM] SUSPICIOUS [ACRONYM] [ACRONYM] [ORG]?,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: none of them had backpacks or anything school related, just the one guy carrying the plastic bag
Dispatcher:",[],,5,SuspiciousActivity
no. I went down the hall for # minutes,"ok, I'll be there in a few minutes
",what is the nature of the activity?,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: in campus police conference room. test
Dispatcher: where is the suspicious activity? 
 User: no. I went down the hall for # minutes
Dispatcher:","[['in campus police conference room. test', 'where is the suspicious activity?']]",,3,SuspiciousActivity
"black male around #'#"" brown jacket","Hi, how can I help you?
",Thank you for using [UNK-NNP]! Is he still in the area?,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: black male around #'#"" brown jacket
Dispatcher:",[],,1,SuspiciousActivity
no we are not on campus at the moment.,"I see. Is there anything else I can help you with?
",can you give me a better description of their location and how long ago you last spotted them,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: no we are not on campus at the moment.
Dispatcher:",[],,5,SuspiciousActivity
"This is the [ORG] staff by the way, the app is making us message anonymously","Ok, I understand.
",How long ago did you see her there?,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: This is the [ORG] staff by the way, the app is making us message anonymously
Dispatcher:",[],,5,SuspiciousActivity
no exact location,"no exact location
",I will have an officer check the area. D o you have a color of the [ORG]?,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: no exact location
Dispatcher:",[],,3,SuspiciousActivity
sure where would you want to meet,"Sure, I can meet you at the police station.
",[ACRONYM] [ACRONYM] [ACRONYM] [ACRONYM] OFFICERS [ACRONYM] [ACRONYM] DINING [ACRONYM] [ACRONYM] [ACRONYM] [ACRONYM] ENTRANCE?,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: sure where would you want to meet
Dispatcher:",[],,6,SuspiciousActivity
not a prob! have a good one!,"You too.
",You as well.,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: *he has
Dispatcher: Okay thank you. We have a patrol officer en route to that area as well as [ACRONYM]. 
 User: not a prob! have a good one!
Dispatcher:","[['*he has', 'Okay thank you. We have a patrol officer en route to that area as well as [ACRONYM].']]",,5,SuspiciousActivity
what was a little bit odd was that there was a car seat on the back right seat and boxes or something on the car seat,"what was a little bit odd was that there was a car seat on the back right seat and boxes or something on the car seat
",ok thank you,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: what was a little bit odd was that there was a car seat on the back right seat and boxes or something on the car seat
Dispatcher:",[],,5,SuspiciousActivity
Hes been here a couple of times,"How can I help you?
",Is he alone?,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: Hes been here a couple of times
Dispatcher:",[],,1,SuspiciousActivity
Got it. Will give them a call. Thank you!,"You're welcome!
",welcome! :),"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: And thank you for your prompt response
Dispatcher: i would just notify the local division which is [ORG] division (###) ###-####. You're most welcome! Have a great evening> 
 User: Got it. Will give them a call. Thank you!
Dispatcher:","[['And thank you for your prompt response', ""i would just notify the local division which is [ORG] division (###) ###-####. You're most welcome! Have a great evening>""]]",,5,SuspiciousActivity
