instruction,response,output,prompt,history,summary,his_len,type
*and am,"*and am
",No because we were not given the room number? When we responded no one was on the balcony.,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: *and am
Dispatcher:",[],,18,DrugsAlcohol
i feel like she'll be back tonight. she left with her swimsuit about ## mins ago.,"ok, that's good to know.
",Do you know where [PERSON] is now and when she may be returning to campus?,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: i feel like she'll be back tonight. she left with her swimsuit about ## mins ago.
Dispatcher:",[],,5,DrugsAlcohol
I would like to stay anonymous but I want to let the [GPE] police know about this incident. is that possible?,"Yes, you can remain anonymous.
","Yes, you can tell the the call taker with [GPE] [ACRONYM] that you are not requesting contact and wish to stay anonymous.","A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: I would like to stay anonymous but I want to let the [GPE] police know about this incident. is that possible?
Dispatcher:",[],,6,DrugsAlcohol
yes,"yes 
","Thank you for your tip. Just to make sure, are they smoking marijuana?","A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: yes
Dispatcher:",[],,1,DrugsAlcohol
"just wondering, after this tip I will no longer be involved and or brought up during a possible case/charge?","That is correct.
","Your involvement goes no further than this conversation and you are anonymous, even to me.","A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: thank you.
Dispatcher: You are welcome. 
 User: just wondering, after this tip I will no longer be involved and or brought up during a possible case/charge?
Dispatcher:","[['thank you.', 'You are welcome.']]",,9,DrugsAlcohol
black shorts and green stripes on tge shorts,"black shorts and green stripes on tge shorts
",Ok officer should be pulling up now,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: black shorts and green stripes on tge shorts
Dispatcher:",[],,12,DrugsAlcohol
"black male, grey hat and shirt","female, black hat and shirt
",Can you provide a description,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: black male, grey hat and shirt
Dispatcher:",[],,1,DrugsAlcohol
^ì˜¤^,"^ì˜¤^
",There is no way for you to know if you want to remain anonymous unless you are waiting at that location and see them.,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: ^ì˜¤^
Dispatcher:",[],,16,DrugsAlcohol
i dont want to call them if the report went through richmond police.,"I understand.
","If you are seeking additional information, yes you will have to call them.","A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: i dont want to call them if the report went through richmond police.
Dispatcher:",[],,28,DrugsAlcohol
please tell them to be quiet !,"I'm sorry, I can't hear you.
","Thank your for the information. Unfortunately, the address provided is outside of [ACRONYM] [ACRONYM] jurisdiction. [ORG] is responsible for this area and can be contacted at ###-###-####. We received the same report earlier and this exact information was provided then as well.","A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: please tell them to be quiet!
Dispatcher:",[],,7,DrugsAlcohol
there's event staff should I tell them?,"yes, tell them
",yes please,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: there's event staff should I tell them?
Dispatcher:",[],,9,DrugsAlcohol
The incident involved over served patrons of [GPE].,"I understand you are reporting an incident involving over served patrons of [GPE].
",Thank you for the information.,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: The incident involved over served patrons of [GPE].
Dispatcher:",[],,5,DrugsAlcohol
any update?,"yes, I'm here.
",Are there still a lot of people there?,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: any update?
Dispatcher:",[],,4,DrugsAlcohol
"i meant ###, my bad!","No problem!
",are they having a party tonight?,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: i meant ###, my bad!
Dispatcher:",[],,5,DrugsAlcohol
white head phones red jersey. I physically seen the marijuana,"Hello, this is the police department. How can I help you?
",Thank you for your tip. I have dispatched officers.,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: white head phones red jersey. I physically seen the marijuana
Dispatcher:",[],,12,DrugsAlcohol
"They have been going behind regence, but they got scared to go there. Now they drive to random places and smoke. Thats what they told me right before they left.",[ACRONYM] [ACRONYM] [ACRONYM] [ACRONYM] [ACRONYM] [ACRONYM] [ACRONYM] [ACRONYM] [ACRONYM] [ACRONYM] [ACRONYM] [ACRONYM] [ACRONYM] [ACRONYM] [ACRONYM] [ACRONYM] [ACRONYM] [ACRONYM] [ACRONYM] [ACRONYM] [ACRONYM] [ACRONYM] [ACRONYM] [ACRONYM] [ACRONYM] [ACRONYM] [ACRONYM] [ACRONYM] [ACRONYM] [ACRONYM] [ACRONYM] [ACRONYM] [ACRONYM] [ACRONYM] [ACRONYM] [ACRONYM] [ACRONYM] [ACRONYM] [ACRONYM] [ACRONYM] [ACRONYM] [ACRONYM] [ACRONYM] [ACRONYM] [ACRONYM] [ACRONYM] [ACRONYM] [ACRONYM] [ACRONYM] [ACRONYM] [ACRONYM] [ACRONYM] [ACRONYM] [ACRONYM] [ACRONYM] [ACRONYM] [ACRONYM] [ACRONYM] [ACRONYM] [ACRONYM] [ACRONYM] [ACRONYM] [ACRONYM] [ACRONYM] [ACRONYM] [ACRONYM] [ACRONYM] [ACRONYM] [ACRONYM] [ACRONYM] [ACRONYM] [ACRONYM] [ACRONYM] [,[ACRONYM] [ACRONYM] [ACRONYM] [ACRONYM] [ACRONYM] ROOMMATES VEHICLE?,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: [ORG], im in room ###
Dispatcher: [ACRONYM] [ACRONYM] [ACRONYM] ROOMMATES [ORG] [ACRONYM] [ACRONYM] [ORG]S [ACRONYM] [ACRONYM] INVOLVED? 
 User: [PERSON] is my roommate. [PERSON] and [UNK-NNP] [UNK-NNP] are the people he has been getting high with recently but there very well could be others
Dispatcher: [ACRONYM] [ACRONYM] [ACRONYM] [ACRONYM] [ACRONYM] [ACRONYM]? 
 User: They have been going behind regence, but they got scared to go there. Now they drive to random places and smoke. Thats what they told me right before they left.
Dispatcher:","[['[ORG], im in room ###', '[ACRONYM] [ACRONYM] [ACRONYM] ROOMMATES [ORG] [ACRONYM] [ACRONYM] [ORG]S [ACRONYM] [ACRONYM] INVOLVED?'], ['[PERSON] is my roommate. [PERSON] and [UNK-NNP] [UNK-NNP] are the people he has been getting high with recently but there very well could be others', '[ACRONYM] [ACRONYM] [ACRONYM] [ACRONYM] [ACRONYM] [ACRONYM]?']]",,8,DrugsAlcohol
youre very welcome. they just pulled out of [ORG].,[ORG] is a [ORG] [ORG] [ORG] [ORG] [ORG] [ORG] [ORG] [ORG] [ORG] [ORG] [ORG] [ORG] [ORG] [ORG] [ORG] [ORG] [ORG] [ORG] [ORG] [ORG] [ORG] [ORG] [ORG] [ORG] [ORG] [ORG] [ORG] [ORG] [ORG] [ORG] [ORG] [ORG] [ORG] [ORG] [ORG] [ORG] [ORG] [ORG] [ORG] [ORG] [ORG] [ORG] [ORG] [ORG] [ORG] [ORG] [ORG] [ORG] [ORG] [ORG] [ORG] [ORG] [ORG] [ORG] [ORG] [ORG] [ORG] [ORG] [ORG] [ORG] [ORG] [ORG] [ORG] [ORG] [ORG] [ORG] [ORG] [ORG] [ORG] [ORG] [ORG] [ORG] [ORG] [ORG] [ORG] [ORG] [ORG] [ORG] [ORG] [ORG] [ORG] [ORG] [ORG] [ORG] [ORG] [ORG] [ORG] [ORG] [ORG] [ORG] [ORG] [ORG] [ORG] [ORG] [ORG] [ORG] [ORG] [ORG] [ORG] [ORG] [ORG] [ORG] [ORG] [ORG] [ORG] [ORG] [ORG] [ORG] [ORG] [ORG] [ORG] [ORG] [ORG] [ORG] [ORG] [ORG] [ORG] [ORG] [ORG] [ORG] [ORG] [ORG] [ORG] [ORG] [ORG] [ORG] [OR,[ACRONYM] [ACRONYM] [ACRONYM] [ACRONYM] [ACRONYM] [ACRONYM] [ACRONYM] REPORTING [ACRONYM] IN[ACRONYM]MATION,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: white
Dispatcher: [ACRONYM] [ACRONYM] [ACRONYM] [ACRONYM] IN[ACRONYM]MATION. 
 User: youre very welcome. they just pulled out of [ORG].
Dispatcher:","[['white', '[ACRONYM] [ACRONYM] [ACRONYM] [ACRONYM] IN[ACRONYM]MATION.']]",,25,DrugsAlcohol
my roommate is back. I just got back and he says he has been here for a little bit.,"[ACRONYM] [ACRONYM] [ACRONYM] [ORG]. [ACRONYM] [ACRONYM]. 
",Thank you for the information. I have let the officers know that he is back.,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: would you like me to inform you once he returns to the room?
Dispatcher: [ACRONYM] [ACRONYM] [ACRONYM] [ORG]. [ACRONYM] [ACRONYM]. 
 User: Okay, I will let you know! It might be late when he returns. Either way ill keep you up to date.
Dispatcher: [ACRONYM] [ACRONYM]. 
 User: my roommate is back. I just got back and he says he has been here for a little bit.
Dispatcher:","[['would you like me to inform you once he returns to the room?', '[ACRONYM] [ACRONYM] [ACRONYM] [ORG]. [ACRONYM] [ACRONYM].'], ['Okay, I will let you know! It might be late when he returns. Either way ill keep you up to date.', '[ACRONYM] [ACRONYM].']]",,35,DrugsAlcohol
"Oh, and he's very obviously homeless","OK, and what is the nature of the concern?
",Thank you for contacting [ACRONYM] [UNK-NNP]!,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: Oh, and he's very obviously homeless
Dispatcher:",[],,1,DrugsAlcohol
"barely awake, breathing is okay","hello, what is your emergency?
",Is he awake? Does he look like he is having trouble breathing?,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: barely awake, breathing is okay
Dispatcher:",[],,4,DrugsAlcohol
I honestly think that by the time you get here his friends will have taken him away,"Ok, let me get this straight. You are saying that you think that his friends will take him away before we get there?
",Which way are they taking him?,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: I honestly think that by the time you get here his friends will have taken him away
Dispatcher:",[],,17,DrugsAlcohol
thank you,"You're welcome.
",You 're welcom,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: please come quick
Dispatcher: They're on the way 
 User: thank you
Dispatcher:","[['please come quick', ""They're on the way""]]",,3,DrugsAlcohol
they just walked off but I couldn't smell of it was marijuana or not,"yes, I'm sorry that happened. It's not your fault.
",thank you. we will send someone to locate them.,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: they just walked off but I couldn't smell of it was marijuana or not
Dispatcher:",[],,1,DrugsAlcohol
I don't see a option to attach photos. would I just send a new tip?,"nope just send it here. 
",you could try sending a new tip and add it there,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: take to get here
Dispatcher: they should be there in the next #-# min 
 User: am I allowed to send pictures of him smoking to the police?
Dispatcher: sure you can send them through here that is fine. 
 User: will the school punish me in any way?
Dispatcher: nope you will not be mentioned 
 User: I don't see a option to attach photos. would I just send a new tip?
Dispatcher:","[['take to get here', 'they should be there in the next #-# min'], ['am I allowed to send pictures of him smoking to the police?', 'sure you can send them through here that is fine.'], ['will the school punish me in any way?', 'nope you will not be mentioned']]",,11,DrugsAlcohol
ok cool. they were in a very dangerous location. the vents on the roof are from chemical fume hoods and vent toxic and flammable vapors,"Yes, we have the address.
",Thank you for contacting and assisting [ORG]. The officers saw them and will continue to attempt to make contact.,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: both had dark hair.
Dispatcher: Thank you, the officers were updated. 
 User: ok cool. they were in a very dangerous location. the vents on the roof are from chemical fume hoods and vent toxic and flammable vapors
Dispatcher:","[['both had dark hair.', 'Thank you, the officers were updated.']]",,12,DrugsAlcohol
yeah we smell it again in the loundge of the sweet,"yeah i can smell it too
","[ACRONYM], [ACRONYM] [ACRONYM] ARRIVED","A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: yeah we smell it again in the loundge of the sweet
Dispatcher:",[],,14,DrugsAlcohol
"Sorry, I sent this twice because i couldnt tell if the first one went through.","Hello, this is 911. How can I help you?
","Thank you for using [UNK-NNP], [UNK-NNP] have a unit en route at this time. Due to flooding there is a small delay , but will make contact shortly.","A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: Sorry, I sent this twice because i couldnt tell if the first one went through.
Dispatcher:",[],,1,DrugsAlcohol
their house is unusually quiet which is suspicious to me,"what is the nature of the concern?
",How did you receive this information?,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: their house is unusually quiet which is suspicious to me
Dispatcher:",[],,3,DrugsAlcohol
the [ORG] active said he could bring a friend so my friend extended the invitation to me,"I'm glad you're able to join us.
",Thank you for the information.,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: the [ORG] active said he could bring a friend so my friend extended the invitation to me
Dispatcher:",[],,8,DrugsAlcohol
thank you! I appreciate this.,"You are welcome.
",You are most welcome,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: they*
Dispatcher: Yes, one officer is on scene and just waiting for the other officer and I have already contacted the [ACRONYM] 
 User: thank you! I appreciate this.
Dispatcher:","[['they*', 'Yes, one officer is on scene and just waiting for the other officer and I have already contacted the [ACRONYM]']]",,8,DrugsAlcohol
"going into class so I have to go, I'll be out at #:## if you need to consult me","OK, thanks.
","Ok, sounds good- thanks for the help!","A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: going into class so I have to go, I'll be out at #:## if you need to consult me
Dispatcher:",[],,7,DrugsAlcohol
thanks for your help but I'll just handle the damn situation myself.,"If you feel unsafe, please call 911. 
",How exactly do you propose to do that?,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: they were about an hour ago and have quieted down but it still is causing a concern for me and others I live with
Dispatcher: What is your concern? 
 User: well they are drinking and were referencing drug use earlier. so my safety is the concern here
Dispatcher: Unless I have more specific information; there is no probable cause for us to act. 
 User: thanks for your help but I'll just handle the damn situation myself.
Dispatcher:","[['they were about an hour ago and have quieted down but it still is causing a concern for me and others I live with', 'What is your concern?'], ['well they are drinking and were referencing drug use earlier. so my safety is the concern here', 'Unless I have more specific information; there is no probable cause for us to act.']]",,9,DrugsAlcohol
hello,"hello.
",[ACRONYM] [ACRONYM] [ACRONYM] [ACRONYM] FUR[ACRONYM]R DESCRIPTION [ACRONYM] [ACRONYM] PEOPLE,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: hello
Dispatcher:",[],,1,DrugsAlcohol
mid size,"mid size
",Thank you for using [UNK-NNP] [UNK-NNP]. We are dispatching officers to the area.,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: mid size
Dispatcher:",[],,12,DrugsAlcohol
his name is [NORP]!,"Hi, [NORP], how can I help you?
",Thanks [UNK-NNP] is responding.,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: his name is [NORP]!
Dispatcher:",[],,2,DrugsAlcohol
I believe so,"I believe so
",Thank you. I believe that my officers have made contact with the subjects.,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: Not sure how else to describe them. one was wearing shorts
Dispatcher: was one of the subjects wearing all white clothing. 
 User: I believe so
Dispatcher:","[['Not sure how else to describe them. one was wearing shorts', 'was one of the subjects wearing all white clothing.']]",,5,DrugsAlcohol
will advise if/when they come back up,"will advise if/when they come back up
",Thank you for your help/,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: will advise if/when they come back up
Dispatcher:",[],,9,DrugsAlcohol
jeans gray shirt,"We will let the police know
",Can you give a more detailed description?,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: white male
Dispatcher: We will let the police know 
 User: jeans gray shirt
Dispatcher:","[['white male', 'We will let the police know']]",,4,DrugsAlcohol
he left,"Hello, this is the dispatcher.
",Which direction did he go?,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: he left
Dispatcher:",[],,6,DrugsAlcohol
"he's moving now, bent ovee","Can you tell me where you are?
",Can you tell which direction he's going?,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: he's moving now, bent ovee
Dispatcher:",[],,18,DrugsAlcohol
