instruction,response,output,prompt,history,summary,his_len,type
so I got tboned on [PERSON] and [PERSON] while I was turning into campus,"OK, so you were turning into campus and you got tboned by [PERSON] and [PERSON]?
",Hello. How may I help you?,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: so I got tboned on [PERSON] and [PERSON] while I was turning into campus
Dispatcher:",[],,3,EmergencyMessage
[PERSON] [UNK-NNP] livesave,"[PERSON] [UNK-NNP] livesave
",##-#,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: [PERSON] [UNK-NNP] livesave
Dispatcher:",[],,1,EmergencyMessage
Hello??,"Hello, how can I help you?
",Thanks again for contacting [ORG] public [PERSON] we have someone in route,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: is it too early to get picked up?
Dispatcher: Thank you for contacting [ORG] [ACRONYM] of [UNK-NNP] [UNK-NNP] we will take care of that for you.We #will have someone in route 
 User: Hello??
Dispatcher:","[['is it too early to get picked up?', 'Thank you for contacting [ORG] [ACRONYM] of [UNK-NNP] [UNK-NNP] we will take care of that for you.We #will have someone in route']]",,3,EmergencyMessage
Thank you,"Have a good night. 
",Your welcome,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: oh ok
Dispatcher: Thank you have a good night. 
 User: Thank you
Dispatcher:","[['oh ok', 'Thank you have a good night.']]",,7,EmergencyMessage
no just heard,"Is the subject still in the apartment? 
",We're sorry for the disturbances. Our officer is on scene.,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: am trying to sleep inside of a private employees apartment
Dispatcher: Do you see the subjects? 
 User: no just heard
Dispatcher:","[['am trying to sleep inside of a private employees apartment', 'Do you see the subjects?']]",,10,EmergencyMessage
hello?,"Hello.
",We understand. We do not transport from building to open buildings. We have buses running that route tonight. The next bus will be there at #:##am. Please contact dispatch for any further questions. ###-###-####,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: hello?
Dispatcher:",[],,7,EmergencyMessage
it came through ok,"good, thank you for calling the police department.
",I am writting back,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: it came through ok
Dispatcher:",[],,1,EmergencyMessage
"Cashman ### is really quite now, but the music at the town house still really loud.","Hello, how can I help you?
",Thanks for the update. We are working on it and will hopefully have them quieted down soon.,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: Cashman ### is really quite now, but the music at the town house still really loud.
Dispatcher:",[],,3,EmergencyMessage
hello?,"Hello, this is the police. How can I help you?
",Due to the high volume of transportation request. Transportation will be there shortly. Thank you for your patients we truly appreciate it.,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: hello?
Dispatcher:",[],,7,EmergencyMessage
thanks,"What is your name and student [ACRONYM]# 
",Thank you [PERSON]. Your safe ride will be there shortly.,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: jayant kumar #########
Dispatcher: Thank you for contacting [ORG]. What is your name and student [ACRONYM]# 
 User: thanks
Dispatcher:","[['jayant kumar #########', 'Thank you for contacting [ORG]. What is your name and student [ACRONYM]#']]",,3,EmergencyMessage
my id is #########,"my id is #########
",thank you,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: my id is #########
Dispatcher:",[],,3,EmergencyMessage
oh yes for sure. I was not sure if this app will work. Next time I will keep in mind,"Great :) 
",Thank [UNK-NNP],"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: thank you take care
Dispatcher: If you want to test the app again can you please say testing or something other than [UNK-NNP] [UNK-NNP]. thanks :) 
 User: oh yes for sure. I was not sure if this app will work. Next time I will keep in mind
Dispatcher:","[['thank you take care', 'If you want to test the app again can you please say testing or something other than [UNK-NNP] [UNK-NNP]. thanks :)']]",,9,EmergencyMessage
"he was saying that it might take # months for him to get hormones (he is trans and his parents aren't supportive) and he said ""I realized I don't have # months left in me"". he's not in a dorm, he lives in the apartment that's attached to the [ORG] horse barn cause he works there.","Okay, I will send an officer to talk to him. Is there anything else you can tell me about him?
",I will have an officer check on him,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: it looks like the message got cut off at the end I said make sure you don't misgender him cause that will make it worse - he is a boy & uses he/him/his for pronouns
Dispatcher: What makes you think he hurt himself? Do you know the name of the hall he is living at? 
 User: he was saying that it might take # months for him to get hormones (he is trans and his parents aren't supportive) and he said ""I realized I don't have # months left in me"". he's not in a dorm, he lives in the apartment that's attached to the [ORG] horse barn cause he works there.
Dispatcher:","[[""it looks like the message got cut off at the end I said make sure you don't misgender him cause that will make it worse - he is a boy & uses he/him/his for pronouns"", 'What makes you think he hurt himself? Do you know the name of the hall he is living at?']]",,3,EmergencyMessage
I sent it on the tip section under mental health,"Hello, this is the dispatcher for the police department. How can I help you?
",I got it thank you.,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: I sent it on the tip section under mental health
Dispatcher:",[],,13,EmergencyMessage
in corner of parking lot,"dispatcher at police department
","thank you for your report, officers took care of the issue.","A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: in corner of parking lot
Dispatcher:",[],,5,EmergencyMessage
right now i am not sure they have left or not so i dare not move freely,"ok, stay in your room and wait for the officers to come to you
","when the officer enter the apartment, how do they get to your room?","A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: like someone was moving stuff and walking around
Dispatcher: officers are in the hallway, stay inside your room 
 User: right now i am not sure they have left or not so i dare not move freely
Dispatcher:","[['like someone was moving stuff and walking around', 'officers are in the hallway, stay inside your room']]",,9,EmergencyMessage
I am not sure if he's in the area or not,"You can call back if you don't hear from him.
",we have officers on the way to you at this time,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: I am not sure if he's in the area or not
Dispatcher:",[],,13,EmergencyMessage
I kept going to [GPE] knowing I can get help,"I am sorry to hear that
",that's good.,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: I kept going to [GPE] knowing I can get help
Dispatcher:",[],,27,EmergencyMessage
"she got in the car voluntarily, but the gyys were pushing her around a bit and kept telling her to ""shut the fuck up""","OK, I understand. 
",We will relay the information to officers in the area.,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: she got in the car voluntarily, but the gyys were pushing her around a bit and kept telling her to ""shut the fuck up""
Dispatcher:",[],,6,EmergencyMessage
"female, dark skinned, experiencing stomach pains and dizziness","male, light skinned, speaking in a calm and friendly tone
",ok we have someone on the way,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: female, dark skinned, experiencing stomach pains and dizziness
Dispatcher:",[],,3,EmergencyMessage
sry hide my name,"sry hide my name
","That is not a problem, we do not provide others with your information. Have a good evening.","A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: sry hide my name
Dispatcher:",[],,7,EmergencyMessage
any update,"yes, I'm on my way
",[ORG] has been broken up b,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: any update
Dispatcher:",[],,6,EmergencyMessage
you,"dispatcher
","Hello, officers were unable to locate anyone in the area in need of assistance. Please contact us again if you continue to hear any yelling. Thank you!","A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: you
Dispatcher:",[],,5,EmergencyMessage
[NORP] male with short hair the girl had red hair and is in grey sweat pants I believe one of them was wearing a flannel,"[NORP] male with short hair the girl had red hair and is in grey sweat pants I believe one of them was wearing a flannel
",[ACRONYM] [ACRONYM] [ACRONYM] [ACRONYM] [ACRONYM]? [ACRONYM] [ACRONYM] [ACRONYM] [ACRONYM] A BETTER LOCATION [ACRONYM] [ACRONYM] [ACRONYM] [ACRONYM]?,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: [NORP] male with short hair the girl had red hair and is in grey sweat pants I believe one of them was wearing a flannel
Dispatcher:",[],,9,EmergencyMessage
I'm not sure who's in there maybe # to # people,"Hello, how can I help you?
",We will notify the officers.,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: I'm not sure who's in there maybe # to # people
Dispatcher:",[],,8,EmergencyMessage
thank you,"You are welcome.
",You're welcome have a good night,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: I also have a bike
Dispatcher: Thank [UNK-NNP], the driver is outside is outside now 
 User: thank you
Dispatcher:","[['I also have a bike', 'Thank [UNK-NNP], the driver is outside is outside now']]",,5,EmergencyMessage
### but Im outside of the winter center,"Can you tell me the name of the person who is sleeping with you? 
",An officer will come by to talk to you soon. He will be located at the front door of the winter center.,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: I feel uncomfortable when I sleep too Bc she sleeptalk and sleepwalks and the sleep talking wakes me up but the sleepwalking doesn't and what if she like gets something and hurts me when I'm sleeping
Dispatcher: Have you contacted your [NORP] or [ORG]? 
 User: I talked to my ra and ga about not feeling safe in here and nothing was done
Dispatcher: Can you tell me what dorm you are in? 
 User: I'm in [ORG]
Dispatcher: Can you provide us with the room number? 
 User: ### but Im outside of the winter center
Dispatcher:","[[""I feel uncomfortable when I sleep too Bc she sleeptalk and sleepwalks and the sleep talking wakes me up but the sleepwalking doesn't and what if she like gets something and hurts me when I'm sleeping"", 'Have you contacted your [NORP] or [ORG]?'], ['I talked to my ra and ga about not feeling safe in here and nothing was done', 'Can you tell me what dorm you are in?'], [""I'm in [ORG]"", 'Can you provide us with the room number?']]",,11,EmergencyMessage
I'm at a friend's at west ##th. he didn't physically harm anyone but he was making odd sexual puns and when one kid asked him to leave he didn't. I think I've seen him around the [ORG] area before,"Officers are responding to the area. They will be meeting with you shortly. 
","Officers search the area for him, and it seems like he has left the area. Officers will keep an eye out for him in the area. If you see him again in the area, even if on another night. Please call ###-###-####","A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: he just left, headed away from [UNK-NNP]
Dispatcher: Thank you for contacting [ORG]. Approx what age was he? We will send officers to the area. 
 User: he was maybe early ##s? definitely not a student. there was a [ORG] officer on a bicycle near us but he didn't do anything
Dispatcher: We have officers responding to the area now to see if we can locate him. Officers are requesting to meet with you. Do you have a location to meet? 
 User: I'm at a friend's at west ##th. he didn't physically harm anyone but he was making odd sexual puns and when one kid asked him to leave he didn't. I think I've seen him around the [ORG] area before
Dispatcher:","[['he just left, headed away from [UNK-NNP]', 'Thank you for contacting [ORG]. Approx what age was he ? We will send officers to the area.'], [""he was maybe early ##s? definitely not a student. there was a [ORG] officer on a bicycle near us but he didn't do anything"", 'We have officers responding to the area now to see if we can locate him. Officers are requesting to meet with you. Do you have a location to meet?']]",,5,EmergencyMessage
For feedback....is there a way that when a bus goes out of servixe...another will be right behind it....? i have been waiting since #:## when the last orange bus went out of service.....,"Thank you for contacting the Police Department.
",You need to contact [PERSON],"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: For feedback....is there a way that when a bus goes out of servixe...another will be right behind it....? i have been waiting since #:## when the last orange bus went out of service.....
Dispatcher:",[],,4,EmergencyMessage
what is happening on [ORG] parkway?,"Hi, this is [ORG] police department. How can I help you?
",[ACR[ACRONYM]YM] [ACR[ACRONYM]YM] [ACR[ACRONYM]YM] ALLOWED [ACR[ACRONYM]YM] [ACR[ACRONYM]YM] [ACR[ACRONYM]YM] [ACR[ACRONYM]YM] A OFFICER [ACR[ACRONYM]YM] [ACR[ACRONYM]YM] DISPATCHED [ACR[ACRONYM]YM] [ACR[ACRONYM]YM] [ACR[ACRONYM]YM] [ACR[ACRONYM]YM]. PLEASE [ACR[ACRONYM]YM] [ACR[ACRONYM]YM] [ACR[ACRONYM]YM] [ACR[ACRONYM]YM] [ACRONYM] [ACR[ACRONYM]YM] [ACRONYM] [ACR[ACRONYM]YM] [ACRONYM] [ACR[ACRONYM]YM] [ACRONYM] DISPATCH [ACRONYM] [ACR[ACRONYM]YM],"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: what is happening on [ORG] parkway?
Dispatcher:",[],,19,EmergencyMessage
yes,"Ok I am going to have them check on the apartment, they should be there in a few minutes. 
",[ACRONYM] the [ORG] should be getting close to your apartment now. Are your roomates home? Do you know what made the noise?,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: nevemind.
Dispatcher: We have dispatched [UNK-NNP] to the area. [ACRONYM] this your room? 
 User: yes
Dispatcher: Are you ok? 
 User: yes.
Dispatcher: Ok I have [UNK-NNP] at the building, are they going to be able to get into the apartment 
 User: yes
Dispatcher:","[['nevemind.', 'We have dispatched [UNK-NNP] to the area. [ACRONYM] this your room?'], ['yes', 'Are you ok?'], ['yes.', 'Ok I have [UNK-NNP] at the building, are they going to be able to get into the apartment']]",,28,EmergencyMessage
I don't think that's right I passed by with my # month old baby,"Did you call the police?
",Thanks contacting [ORG]. Can you provide a description of the # subjects?,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: I don't think that's right I passed by with my # month old baby
Dispatcher:",[],,1,EmergencyMessage
###,"### 
","Alright, I'll send an officer back up.","A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: ###
Dispatcher:",[],,3,EmergencyMessage
is there still a vehicle on the way?,"Yes, there is a vehicle on the way.
",Yes there is one [UNK-NNP] is tad bit backed up,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: is there still a vehicle on the way?
Dispatcher:",[],,9,EmergencyMessage
my dorm someonewalks me back,"Hello, this is the police department.
",THANKS [ACRONYM] [ACRONYM] [ACRONYM],"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: my dorm someonewalks me back
Dispatcher:",[],,7,EmergencyMessage
should I wait near the bus stop?,"Yes, please wait there.
",yes thats fine,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: should I wait near the bus stop?
Dispatcher:",[],,4,EmergencyMessage
thx,"thx
",confirming drill,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: thx
Dispatcher:",[],,1,EmergencyMessage
we r waiting # the bus,"we are sending a patrol officer to that location
",Do you have a description of the suspect,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: theres is a strange guy here
Dispatcher: We are sending a patrol officer to that location 
 User: we r waiting # the bus
Dispatcher:","[['theres is a strange guy here', 'We are sending a patrol officer to that location']]",,8,EmergencyMessage
backing up traffic - just an [ORG],"I'm glad you called. We'll get this resolved.
",Ok. I will have our officers monitor the traffic. Thank you and drive safe.,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: backing up traffic - just an [ORG]
Dispatcher:",[],,3,EmergencyMessage
I'm not sure if they got caught up but he is still out there and I was able to see he is wearing a blue shirt and khaki pants,"Okay, so you are saying you saw him wearing a blue shirt and khaki pants?
",They checked the first floor lounge of [GPE] and he was not there. Do you have a better location,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: I'm not sure if they got caught up but he is still out there and I was able to see he is wearing a blue shirt and khaki pants
Dispatcher:",[],,5,EmergencyMessage
off campus,"off campus
",Ok. We talked with [PERSON] and will let area law enforcement- [FAC] [UNK-NNP] know about the concern. Would you be willing to talk with them if they need more information?,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: off campus
Dispatcher:",[],,8,EmergencyMessage
"im in university village ####, room ####","Hello, this is dispatcher ####. How can I help you?
",What apartment are you in?,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: im in university village ####, room ####
Dispatcher:",[],,1,EmergencyMessage
"We already sent photos before of this roommate with alchohol before,and nothing was done.","Alright, so you're saying you've had issues with your roommate before?
",It sounds like you'd like to speak with someone about this. Can I have the officer come meet you?,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: We already sent photos before of this roommate with alchohol before,and nothing was done.
Dispatcher:",[],,13,EmergencyMessage
"I'm safe, just thought I would let you know.","That's good to hear.
",Okay. Thank you. We will have facilities check on this.,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: I'm safe, just thought I would let you know.
Dispatcher:",[],,1,EmergencyMessage
Yes,"Hello, may I help you?
",Ok so these females are in the central deck on the first level?,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: Yes
Dispatcher:",[],,3,EmergencyMessage
there we go,"there we go
","[ACRONYM], does he need to turn around and go back the other way?","A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: there we go
Dispatcher:",[],,15,EmergencyMessage
?,"? округу Округ (округ)
",sorry about that. We are on a ## hr quite hr right now,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User:?
Dispatcher:",[],,2,EmergencyMessage
That is dangerous and ill-advised.,"I understand your concern and I will forward it to the appropriate authorities.
",Are you able to contact [ACRONYM] unfortunately we are not able to continue this chat. Our phone number is ###-####. Thank you,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: that doesn't make any sense though, if there is a threat to educational institutions that are located in our general proximity it ###% threatens the safety of [ORG] students.
Dispatcher: The information we received is that the threat is very specific to only [GPE] [UNK-NNP] [UNK-NNP]. We have not received any threats at [ORG] and we are open for business 
 User: That is dangerous and ill-advised.
Dispatcher:","[[""that doesn't make any sense though, if there is a threat to educational institutions that are located in our general proximity it ###% threatens the safety of [ORG] students."", 'The information we received is that the threat is very specific to only [GPE] [UNK-NNP] [UNK-NNP]. We have not received any threats at [ORG] and we are open for business']]",,14,EmergencyMessage
