instruction,response,output,prompt,history,summary,type,his_len,i_tone,o_tone,r_tone
they are just really really loud.,Can you describe the noise?,"Officers are on scene and they're advising there is no fight, if you can approach Police and advise them on the subjects that were fighting if not give a description","A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: they are just really really loud.
Dispatcher:",[],,NoiseDisturbance,6,,1.0,1.0
no I was able to get them to leave,That's great. What's the address?,"A [ORG] Officer is in the area and does not see or hear anyone fighting, do you still hear them?","A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: no I was able to get them to leave
Dispatcher:",[],,NoiseDisturbance,1,,1.0,99.0
Thank you!,"Can you please re-advise the location of the party, [PERSON] and [PERSON] do not intersect.",Thank you for the update. [ORG] will respond to check the area.,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: [ORG]
Dispatcher: Thank you for the information. Can you re-advise on the location of the party, [PERSON] and [PERSON] do not intersect. 
 User: Thank you!
Dispatcher:","[['[ORG]', 'Thank you for the information. Can you re-advise on the location of the party, [PERSON] and [PERSON] do not intersect.']]",,NoiseDisturbance,4,99.0,99.0,97.84
thank you,you are welcome,"Thank you for notifying us, I will have the [ORG] check it out.","A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: thank you
Dispatcher:",[],,NoiseDisturbance,1,99.0,99.0,99.0
just music. i mean no need to tell them to stop. just not so loud.,"Ok, we will be sending officers.","Ok, thank you for the information","A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: if they could frat just a little quieter that would be sweet.
Dispatcher: Ok, we will be sending officers. Also is it music or residents themselves being loud? 
 User: just music. i mean no need to tell them to stop. just not so loud.
Dispatcher:","[['if they could frat just a little quieter that would be sweet.', 'Ok, we will be sending officers. Also is it music or residents themselves being loud?']]",,NoiseDisturbance,5,,99.0,
"also one more thing, sometimes there's a car parked in the alley like roght now and it's hard to get my car out of the parking spot when",Thank you for letting us know about this. We will be on the lookout for this.,We can notify [ORG] if the vehicle is parked in the alley. Can I get an address and the vehicle information (color/year/make/model/license plate),"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: and just fyi, there were people.leaving the house around midnight and they were REALLY loud in the alley
Dispatcher: If this occurs again, please let us know as soon as it happens so we can have officers respond and handle the situation 
 User: also one more thing, sometimes there's a car parked in the alley like roght now and it's hard to get my car out of the parking spot when
Dispatcher:","[['and just fyi, there were people.leaving the house around midnight and they were REALLY loud in the alley', 'If this occurs again, please let us know as soon as it happens so we can have officers respond and handle the situation']]",,NoiseDisturbance,7,,,96.74
noise has been going on for about an hour.,Can you describe the noise?,Thank you for the information.,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: noise has been going on for about an hour.
Dispatcher:",[],,NoiseDisturbance,4,1.0,99.0,1.0
I think they are outside.,is it in the street or in the yard?,thank you we will advise our officers,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: #### [UNK-NNP] [UNK-NNP]
Dispatcher: is it inside or outside? or to the rear? 
 User: I think they are outside.
Dispatcher:","[['#### [UNK-NNP] [UNK-NNP]', 'is it inside or outside? or to the rear?']]",,NoiseDisturbance,12,,99.0,
*you,*dispatcher,"We're sending officers back to the location, standby","A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: *you
Dispatcher:",[],,NoiseDisturbance,26,,,
it recently just stopped,"Hi, I'm glad you called.",Are you at [FAC]?,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: it recently just stopped
Dispatcher:",[],,NoiseDisturbance,3,,,99.0
not now- earlier and thanks,[PERSON]....you're welcome.,No problem. Have a good night.,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: sorry
Dispatcher: [PERSON]....is there noise coming from it at this moment. An officer just check it and said there was no noise. 
 User: not now- earlier and thanks
Dispatcher:","[['sorry', '[PERSON]....is there noise coming from it at this moment. An officer just check it and said there was no noise.']]",,NoiseDisturbance,7,99.0,99.0,99.0
thank you,you are welcome,Ok,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: thank you
Dispatcher:",[],,NoiseDisturbance,5,99.0,,99.0
thank you!,[ACRONYM] is there anything else I can help you with?,Your welcome,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: may have just died down?
Dispatcher: [ACRONYM] let us know if it starts back up again, we will send officers out. 
 User: thank you!
Dispatcher:","[['may have just died down?', '[ACRONYM] let us know if it starts back up again, we will send officers out.']]",,NoiseDisturbance,5,99.0,99.0,99.0
its on the second floor,What is your location?,What is the room number?,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: its on the second floor
Dispatcher:",[],,NoiseDisturbance,9,,,
sorry i am so tired do yiu know how lomg will the officer take to come here?,It depends on how busy the police department is. It could be 5 minutes or it could be an hour.,The call has been dispatched and the officers are on their way.,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: sorry i am so tired do yiu know how lomg will the officer take to come here?
Dispatcher:",[],,NoiseDisturbance,24,1.0,,
thanks i appreciate it!,You are welcome.,"Thank you, I will let the [NORP] know.","A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: thanks i appreciate it!
Dispatcher:",[],,NoiseDisturbance,1,99.0,99.0,99.0
## years old that is,## years old that is,Is he currently by the center of campus? By [PERSON]?,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: ## years old that is
Dispatcher:",[],,NoiseDisturbance,5,,,
"oh, btw, the party's exact location is #### W ##th [UNK-NNP]","oh, btw, the party's exact location is #### W ##th [UNK-NNP]","Thank you, I will update the officers","A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: oh, btw, the party's exact location is #### W ##th [UNK-NNP]
Dispatcher:",[],,NoiseDisturbance,7,99.0,99.0,99.0
on the first floor thank you!,You're welcome.,[ACRONYM] problem,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: on the first floor thank you!
Dispatcher:",[],,NoiseDisturbance,6,99.0,,99.0
thank you,Please stay on the line and we will be there shortly.,"You are very welcome, have a good evening.","A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: it's REALLY loud
Dispatcher: We have officers responding they are on the way right now to address the problem. 
 User: thank you
Dispatcher:","[[""it's REALLY loud"", 'We have officers responding they are on the way right now to address the problem.']]",,NoiseDisturbance,3,99.0,99.0,
we'd prefer to remain anonymous if at all possible.,"ok, [UNK-NNP] can I have your name please?",ok...thanks again for using [UNK-NNP] [UNK-NNP] and we will get officer dispatched to the location,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: yes, [UNK-NNP] court
Dispatcher: ok...would you like to speak to an officer and can I have your name and contact number please? 
 User: we'd prefer to remain anonymous if at all possible.
Dispatcher:","[['yes, [UNK-NNP] court', 'ok...would you like to speak to an officer and can I have your name and contact number please?']]",,NoiseDisturbance,8,,96.74,
I believe they are on the #rd floor back hallway,What do you mean?,"Thank you, officers have been dispatched.","A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: I believe they are on the #rd floor back hallway
Dispatcher:",[],,NoiseDisturbance,3,,,
Thanks,You're welcome.,I understand.,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: I'm the roommate in my room. I'd rather stay there
Dispatcher: I will get officer over there. Thanks again for using [UNK-NNP], [UNK-NNP] [UNK-NNP]. 
 User: Thanks
Dispatcher:","[[""I'm the roommate in my room. I'd rather stay there"", 'I will get officer over there. Thanks again for using [UNK-NNP], [UNK-NNP] [UNK-NNP].']]",,NoiseDisturbance,5,99.0,99.0,99.0
water everywhere,dispatcher,I [ACRONYM] CONTACTING [ACRONYM] MAINTENANCE DEPARTMENT.,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: water everywhere
Dispatcher:",[],,NoiseDisturbance,1,,,
he cut the bird off after we brought it to his attention. the bird is now in the flowers by kedzie,I'm sorry to hear that. We'll be right over.,Thank you for the information. We have officers en route,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: he cut the bird off after we brought it to his attention. the bird is now in the flowers by kedzie
Dispatcher:",[],,NoiseDisturbance,3,,,
No there are not. I believe it's just inside.,Are you alone?,Police are on the way.,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: is blasting music
Dispatcher: Thank you for using [UNK-NNP]. This is [PERSON]. Are there people outisde? 
 User: No there are not. I believe it's just inside.
Dispatcher:","[['is blasting music', 'Thank you for using [UNK-NNP]. This is [PERSON]. Are there people outisde ?']]",,NoiseDisturbance,4,,99.0,
"They are climbing in a vehicle. Possibly intoxicated. Leaving in a [UNK-NNP] [ACRONYM], possibly a [ORG]",OK.,Thanks. I'll let the officer know.,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: They are climbing in a vehicle. Possibly intoxicated. Leaving in a [UNK-NNP] [ACRONYM], possibly a [ORG]
Dispatcher:",[],,NoiseDisturbance,1,,,
it is either ### or ###,it is either ### or ###,"Thank you for the tip, [UNK-NNP] are on the way..Is there an access code to enter?","A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: it is either ### or ###
Dispatcher:",[],,NoiseDisturbance,1,,99.0,
jusy a test,"hello, this is dispatcher.",thanks . who is this testing the system,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: jusy a test
Dispatcher:",[],,NoiseDisturbance,2,,95.42,99.0
you will here it,you will hear it,[ACRONYM],"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: you will here it
Dispatcher:",[],,NoiseDisturbance,3,,99.0,
No description of the person I stayed out of it while he tried to fight one of my roommates ## minutes ago. Now he's back,Can you tell me what happened?,Can you get a description of the person while officers are on the way?,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: No description of the person I stayed out of it while he tried to fight one of my roommates ## minutes ago. Now he's back
Dispatcher:",[],,NoiseDisturbance,4,1.0,,
He's not,Is the person still in the area?,"Ok, officers are at the location. Do you wish to meet with the officers?","A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: No description of the person I stayed out of it while he tried to fight one of my roommates ## minutes ago. Now he's back
Dispatcher: Can you get a description of the person while officers are on the way? 
 User: The knocking has stopped
Dispatcher: Is the person still there and if not which way did he go? 
 User: I'm not sure if he's still out there. I assume not
Dispatcher: Officers are still responding to check the area 
 User: Thank you. He is a white male with blonde hair
Dispatcher: Update information was given to the officers. Is the person still there? 
 User: He's not
Dispatcher:","[[""No description of the person I stayed out of it while he tried to fight one of my roommates ## minutes ago. Now he's back"", 'Can you get a description of the person while officers are on the way?'], ['The knocking has stopped', 'Is the person still there and if not which way did he go?'], [""I'm not sure if he's still out there. I assume not"", 'Officers are still responding to check the area'], ['Thank you. He is a white male with blonde hair', 'Update information was given to the officers. Is the person still there?']]",,NoiseDisturbance,12,,,
"if they need to verify the complaint, I'm in ####, but I don't need anyone to make contact. thanks again!","Okay, I understand. I'm going to transfer you to a supervisor who can help you with this.","Thank you, we have officers on scene.","A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: if they need to verify the complaint, I'm in ####, but I don't need anyone to make contact. thanks again!
Dispatcher:",[],,NoiseDisturbance,5,92.27,98.65,95.42
sorry to ask I wasn't sure where to complain,"Hello, how can I help you?",The [UNK-NNP] [UNK-NNP] can be reached at ###-###-####,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: sorry to ask I wasn't sure where to complain
Dispatcher:",[],,NoiseDisturbance,4,1.0,99.0,99.0
"# are walking away towards grace and [ORG], # are getting into silver [ORG] [UNK-NNP].","# are walking away towards grace and [ORG], # are getting into silver [ORG] [UNK-NNP].","Thanks for the information, we will have a unit respond and check the area","A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: # are walking away towards grace and [ORG], # are getting into silver [ORG] [UNK-NNP].
Dispatcher:",[],,NoiseDisturbance,2,99.0,,99.0
do I need to come out or anything ?,"no, you can stay in your car.",Would you like to speak with police or remain anonymous?,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: do I need to come out or anything?
Dispatcher:",[],,NoiseDisturbance,9,,98.65,
day,day_dispatcher,Security dispatched,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: day
Dispatcher:",[],,NoiseDisturbance,15,,,
thank you. I just want to be posted if something is found out,[ACRONYM] is on the way to your location. If you need to speak to the police let us know,"Ok the police will contact me. We need your contact info, ie. phone number and address","A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: # then #
Dispatcher: How many shots or sound did you hear 
 User: the second ones sounded more like fireworks than the first ones
Dispatcher: Thank you [ACRONYM] is in route to your location. If you wish to speak to the police let us know 
 User: thank you. I just want to be posted if something is found out
Dispatcher:","[['# then #', 'How many shots or sound did you hear'], ['the second ones sounded more like fireworks than the first ones', 'Thank you [ACRONYM] is in route to your location. If you wish to speak to the police let us know']]",,NoiseDisturbance,9,99.0,,
I live on kennard,"Hello, how can I help you?",[ACRONYM]. I will contact [GPE] [UNK-NNP] [UNK-NNP] [UNK-NNP] with the information.,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: I live on kennard
Dispatcher:",[],,NoiseDisturbance,7,,,99.0
"Honestly, just an area to keep an eye on if possible. Students are getting in and out of cars seemingly intoxicated all night.",I'll have an officer check it out.,Thank you for the information officers are responding to the area,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: Honestly, just an area to keep an eye on if possible. Students are getting in and out of cars seemingly intoxicated all night.
Dispatcher:",[],,NoiseDisturbance,3,84.9,,
chit chat,police department,cahat back,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: chit chat
Dispatcher:",[],,NoiseDisturbance,1,,99.0,
it may be in an apartment or house closer to me,I am the dispatcher from the local police department.,ok they are on the way,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: it may be in an apartment or house closer to me
Dispatcher:",[],,NoiseDisturbance,9,,,
another ra,911,received,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: another ra
Dispatcher:",[],,NoiseDisturbance,6,,,
behind it,in front of it,Thank you for the information. We will have a unit respond to the location.,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: behind it
Dispatcher:",[],,NoiseDisturbance,5,,,
screaming as well from front and back of the building,"Hello, this is the police. How can I help you?",[ORG] notified. Thank [UNK-NNP].,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: screaming as well from front and back of the building
Dispatcher:",[],,NoiseDisturbance,3,99.0,98.65,
I think its centennial # ### I can't exactly tell,"That's ok, I'll help you",[ORG] notified again. Thank [UNK-NNP].,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: I think its centennial # ### I can't exactly tell
Dispatcher:",[],,NoiseDisturbance,3,,99.0,99.0
thanks so much.,You're welcome.,Would you like to meet with officers?,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: the music just keeps getting louder and I hear a lot of people
Dispatcher: Thank you for notifying us. We will send officers to the location. 
 User: thanks so much.
Dispatcher:","[['the music just keeps getting louder and I hear a lot of people', 'Thank you for notifying us. We will send officers to the location.']]",,NoiseDisturbance,5,99.0,99.0,99.0
and alcohol in room,How can I help you?,Thank you [ORG] on the way,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: and alcohol in room
Dispatcher:",[],,NoiseDisturbance,5,,99.0,99.0
Im not sure which car it is but hopefully i can send it when/if it starts back up,"Alright, just let me know if you see it.",Ok thanks again for using [UNK-NNP]! Please do not hesitate to contact us should the vehicle alarm start sounding again.,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: Im not sure which car it is but hopefully i can send it when/if it starts back up
Dispatcher:",[],,NoiseDisturbance,3,92.27,99.0,99.0
thank you,you are welcome,[ORG] notified. Thank [UNK-NNP].,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: thank you
Dispatcher:",[],,NoiseDisturbance,1,99.0,99.0,
I also smell marijuana that may be coming from that apartment,"Ok, I'm going to need you to stay on the line with me while I do a little more research on this.",Thank you we have notified an officer.,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: I also smell marijuana that may be coming from that apartment
Dispatcher:",[],,NoiseDisturbance,3,,90.5,99.0
I don't need my son going to sleep listening to profanity,I'm sorry you feel that way. I'm not sure I understand your concern.,Thank you for using [UNK-NNP] I will get an officer to patrol the area of #### -#### Melrose,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: I don't need my son going to sleep listening to profanity
Dispatcher:",[],,NoiseDisturbance,2,,99.0,
